question,answer
সজীব প্রতি সপ্তাহে ৩টি কাঁকড়া ঝুড়িতে রিল করে। প্রতিটি ঝুড়িতে ৪টি কাঁকড়া থাকে। তিনি সপ্তাহে দুবার কাঁকড়া সংগ্রহ করেন। প্রতিটি কাঁকড়া ৩ ডলারে বিক্রি হয়। সে কত টাকা করে?,"তিনি প্রতিবার ৩*৪=<<৩*৪=১২>>১২টি কাঁকড়া সংগ্রহ করেন।
এভাবে তিনি সপ্তাহে ১২*২=<<১২*২=২৪>>২৪টি কাঁকড়া সংগ্রহ করেন।
তাই সে সপ্তাহে ২৪*৩=৳<<২৪*৩=৭২>>৭২ করে।
#### ৭২"
"জোস একটি সুইমিং পুলের মালিক। তিনি বাচ্চাদের জন্য ৳৩ এবং প্রাপ্তবয়স্কদের জন্য দ্বিগুণ পরিমাণ চার্জ করেন। যদি ৮ টি বাচ্চা এবং ১০ জন প্রাপ্তবয়স্ক তার সুইমিং পুলে প্রতিদিন সাঁতার কাটে, তাহলে সে প্রতি সপ্তাহে কত টাকা আয় করবে?","জোস বাচ্চাদের জন্য প্রতিদিন ৳৩ x ৮ = ৳<<৩*৮=২৪>>২৪ উপার্জন করতে পারে।
তিনি প্রাপ্তবয়স্ক প্রতি ৳৩ x ২ = ৳<<৩*২=৬>>৬ চার্জ করেন।
সুতরাং, সে প্রাপ্তবয়স্কদের জন্য প্রতিদিন ৳৬ x ১০ = ৳<<৬*১০=৬০>>৬০ উপার্জন করতে পারে।
জোস ৳৬০ + ৳২৪ = ৳<<৬০+২৪=৮৪>>বাচ্চা এবং প্রাপ্তবয়স্কদের জন্য প্রতিদিন ৮৪ উপার্জন করেন।
অতএব, তিনি প্রতি সপ্তাহে ৳৮৪ x ৭ = ৳<<৮৪*৭=৫৮৮>>৫৮৮ উপার্জন করতে পারেন।
#### ৫৮৮"
"সেপ্টেম্বরের তাপমাত্রা ১ সপ্তাহে মারাত্মকভাবে ওঠানামা করে। তারা রবিবার ৪০ ডিগ্রি দিয়ে শুরু করে তারপর সোমবার ৫০, মঙ্গলবার ৬৫, বুধবার ৩৬, বৃহস্পতিবার ৮২, শুক্রবার ৭২ এবং শনিবার ২৬-এ সপ্তাহ শেষ করে। সেই সপ্তাহের গড় তাপমাত্রা কত ছিল?","আপনি যখন পুরো সপ্তাহের তাপমাত্রা যোগ করেন, তখন এটি আসে ৪০+৫০+৬৫+৩৬+৮২+৭২+২৬ = <<৪০+৫০+৬৫+৩৬+৮২+৭২+২৬=৩৭১>>৩৭১
এই তাপমাত্রা ৭ দিনের বেশি ছিল তাই গড় তাপমাত্রা ছিল ৩৭১/৭ =<<৩৭১/৭=৫৩>>৫৩ ডিগ্রি
#### ৫৩"
মেলির দুটি বিড়ালের প্রতিটিতে একই সময়ে বিড়ালছানাদের লিটার রয়েছে। প্রথম বিড়ালের ৩টি নীল চোখের বিড়ালছানা এবং ৭টি বাদামী চোখের বিড়ালছানা রয়েছে। দ্বিতীয় বিড়ালের ৪টি নীল চোখের বিড়ালছানা এবং ৬টি বাদামী চোখের বিড়ালছানা রয়েছে। সব বিড়ালছানা কত শতাংশ নীল চোখ আছে?,"প্রথমে নীল চোখের বিড়ালছানার মোট সংখ্যা খুঁজুন: ৩টি বিড়ালছানা + ৪টি বিড়ালছানা = <<৩+৪=৭>>৭টি বিড়ালছানা
তারপরে বাদামী চোখের বিড়ালছানাগুলির মোট সংখ্যা খুঁজুন: ৭টি বিড়ালছানা + ৬টি বিড়ালছানা = <<৭+৬=১৩>>১৩টি বিড়ালছানা
তারপর বিড়ালছানার মোট সংখ্যা বের করতে প্রতিটি ধরনের বিড়ালছানার সংখ্যা যোগ করুন: ৭টি বিড়ালছানা + ১৩টি বিড়ালছানা = <<৭+১৩=২০>>২০টি বিড়ালছানা
তারপরে নীল চোখের বিড়ালছানাদের সংখ্যাকে বিড়ালছানার মোট সংখ্যা দিয়ে ভাগ করুন এবং উত্তরটি শতাংশ হিসাবে প্রকাশ করতে ১০০% দ্বারা গুণ করুন: ৭টি বিড়ালছানা / ২০টি বিড়ালছানা * ১০০% = ৩৫%
#### ৩৫"
রুমি স্ট্যাম্প সংগ্রহ করে। তিনি তার সংগ্রাহকের অ্যালবামে ৫০ পৃষ্ঠা গণনা করেছেন। তার অ্যালবামের প্রথম ১০ পৃষ্ঠার প্রতিটিতে ৩০ টি স্ট্যাম্পের ৫ টি সারি রয়েছে। বাকি পৃষ্ঠাগুলির প্রতিটিতে ৫০ টি স্ট্যাম্প রয়েছে। স্টেলার অ্যালবামে কতটি স্ট্যাম্প আছে?,"৩০ x ৫ = <<৩০*৫=১৫০>>প্রথম ১০টি পৃষ্ঠার প্রতিটিতে ১৫০টি স্ট্যাম্প রয়েছে।
তাই প্রথম ১০ পৃষ্ঠায় তার মোট ১৫০ x ১০ = <<১৫০*১০=১৫০০>>১৫০০টি স্ট্যাম্প রয়েছে।
৫০ - ১০ = <<৫০-১০=৪০>>৪০টি পৃষ্ঠা রয়েছে যার প্রতিটিতে ৫০টি স্ট্যাম্প রয়েছে।
বাকি ৪০টি পৃষ্ঠায় মোট ৪০ x ৫০ = <<৪০*৫০=২০০০>>২০০০টি স্ট্যাম্প রয়েছে।
অতএব, স্টেলার তার অ্যালবামে ২০০০ + ১৫০০ = <<২০০০+১৫০০=৩৫০০>>৩৫০০টি স্ট্যাম্প রয়েছে৷
#### ৩৫০০"
"রুমি কিছু মোজা কিনতে প্রয়োজন. তিনি ৪ জোড়া লাল মোজা এবং ৬ জোড়া নীল মোজা কিনেছিলেন। মোট, তিনি ৳৪২ খরচ করেছেন। যদি লাল মোজার প্রতিটির দাম ৳৩ হয়, তাহলে তিনি প্রতিটি নীল জোড়ার জন্য কত টাকা দিয়েছিলেন?","ধরা যাক B নীল মোজার দাম
৪*৩ +৬*Y =৪২
১২ + ৬*Y=৪২
৬*Y =৩০
Y = <<৫=৫>>৫
#### ৫"
"রুমি ৫টি অ্যাকশন ফিগারের সংগ্রহ রয়েছে। প্রতিটি চিত্রের মূল্য ৳১৫, একটি ছাড়া যার মূল্য ৳২০। তিনি তার সংগ্রহ বিক্রি করার সিদ্ধান্ত নেন। এটি দ্রুত করার জন্য তিনি তাদের প্রতিটিকে তাদের মূল্যের থেকে ৳৫ কম দামে বিক্রি করার সিদ্ধান্ত নেন। সব পরিসংখ্যান বিক্রি করে দিলে জিমি কত উপার্জন করবে?","পাঁচটি পরিসংখ্যানের মধ্যে চারটির মূল্য ৪ * ১৫ = ৳<<৪*১৫=৬০>>৬০।
আরও একটি ব্যয়বহুল চিত্রের সাথে, সেগুলির মূল্য ৬০ + ২০ = ৳<<৬০+২০=৮০>>৮০৷
সমস্ত অ্যাকশন ফিগারে, জিমি ৫ * ৫ = ৳<<৫*৫=২৫>>২৫ হারাবে যদি সে সেগুলি সস্তায় বিক্রি করে।
তাই যদি জিমি পরিসংখ্যান বিক্রি করে তাহলে সে পাবে ৮০ - ২৫ = ৳<<৮০-২৫=৫৫>>৫৫।
#### ৫৫"
রুমির ৩টি জার্মান শেফার্ড এবং ৪টি ফ্রেঞ্চ বুলডগ রয়েছে। পিটার রুমির চেয়ে ৩ গুণ বেশি জার্মান শেফার্ড এবং রুমি-এর চেয়ে ২ গুণ বেশি ফ্রেঞ্চ বুলডগ কিনতে চায়। পিটার কত কুকুর থাকতে চায়?,"পিটার ৩ * ৩ = <<৩*৩=৯>>৯টি জার্মান শেফার্ড কুকুর রাখতে চায়৷
তিনি ২ * ৪ = <<২*৪=৮>>৮টি ফ্রেঞ্চ বুলডগ রাখতে চান৷
সুতরাং, পিটার ৯ + ৮ = <<৯+৮=১৭>>১৭টি কুকুর রাখতে চায়।
#### ১৭"
রুমি ২টি পাজল কিনেছে যার প্রতিটি ২০০০ টুকরা। তিনি এই বৃহত্তর ধাঁধার জন্য প্রত্যাশা করেন যে তিনি প্রতি ১০ মিনিটে ১০০ টুকরা করতে পারেন। তাহলে উভয় ধাঁধা শেষ করতে কতক্ষণ লাগবে?,"তার গতির মানে সে ১০/১০০=<<১০/১০০=.১>>.১ মিনিট প্রতি পিস করতে পারে
তাই সে ২০০০*.১=<<২০০০*.১=২০০>>২০০ মিনিটে ১টি ধাঁধা শেষ করতে পারে
সুতরাং এই দুটি পাজল ২০০*২=<<২০০*২=৪০০>>৪০০ মিনিট সময় নেয়
#### ৪০০"
"খাঁচায় ১৪টি মুরগি আছে, এবং দৌড়ে তার দ্বিগুণ মুরগি রয়েছে৷ সেখানে ৪ মুরগির সংখ্যা দ্বিগুণেরও কম ফ্রি রেঞ্জিং হিসাবে রান. কয়টি মুরগি ফ্রি রেঞ্জিং?","কুপ: ১৪ মুরগি
রান: ১৪(২) = ২৮ মুরগি
ফ্রি রেঞ্জ: ২৮(২)-৪=৫২ মুরগি
#### ৫২"
রুমি লাঞ্চের জন্য ৳৫ খরচ করে এবং তার ভাইকে ৳২ দেয়। শুরুতে রুমির কাছে কত ছিল যদি তার এখন ৳১৫ থাকে?,"রুমি মোট খরচ করেছে ৳৫ + ৳২ = ৳<<৫+২=৭>>৭।
শুরুতে তার ৳১৫ + ৳৭ = ৳<<১৫+৭=২২>>২২ আছে।
#### ২২"
"এক দশক আগে মোজাভের জনসংখ্যা ছিল ৪০০০। যদি শহরের জনসংখ্যা তিনগুণ বেড়ে যায়, এবং জনসংখ্যা বিশ্লেষণ দৃঢ় ভবিষ্যদ্বাণী করে যে পাঁচ বছর পর তা ৪০% বৃদ্ধি পাবে, তাহলে পাঁচ বছরে কত লোক মোজাভে থাকবে?","যেহেতু মোজাভের জনসংখ্যা এক দশক আগের সংখ্যার তিনগুণ বেড়েছে, তাই এখন মোজাভেতে ৩*৪০০০ = <<৩*৪০০০=১২০০০>>১২০০০ লোক রয়েছে।
এটি ভবিষ্যদ্বাণী করা হয়েছে যে পাঁচ বছর পর জনসংখ্যা ৪০/১০০*১২০০০ = <<৪০/১০০*১২০০০=৪৮০০>>৪৮০০ জন বৃদ্ধি পাবে।
এর অর্থ হল পাঁচ বছরে মোজাভেতে ১২০০০+৪৮০০ = <<১২০০০+৪৮০০=১৬৮০০>>১৬৮০০ জন মানুষ বসবাস করবে।
#### ১৬৮০০"
রুমি কাছে ৳১০০ বিলের ২ পিস আছে। তিনি ৳১০০ বিলের একটি অংশকে ৳৫০ বিলে পরিবর্তন করার অনুরোধ করেছিলেন। অবশিষ্ট ৳১০০ বিলের অর্ধেক ৳১০ বিল এবং বাকি ৳৫ বিলে পরিবর্তিত হয়। তার কত টুকরো বিল থাকবে?,"৳১০০/৳৫০ = <<১০০/৫০=২>>৳৫০ এর ২ টুকরা হবে যখন ৳১০০ কে ৳৫০ বিলে পরিবর্তন করা হবে।
৳১০০ এর অর্ধেক হল ৳১০০/২ = ৳<<১০০/২=৫০>>৫০।
তাই ৳৫০/৳১০ = <<৫০/১০=৫>>৳১০ এর ৫ টুকরা হবে যখন ৳৫০ কে ৳১০ বিলে পরিবর্তন করা হবে।
অবশিষ্ট ৳৫০ ৳৫ বিলে পরিবর্তিত হবে তাই ৳৫০/৳৫ = <<৫০/৫=১০>>৳৫ বিলের ১০ টুকরা থাকবে।
সুতরাং মোট, লরির ২ ৳৫০ বিল + ৫ ৳১০ বিল + ১০ ৳৫ বিল = <<২+৫+১০=১৭>>১৭ টি বিল থাকবে।
#### ১৭"
"চার বছরে, আনিকা হান্সের চেয়ে তিনগুণ বয়সী হবে। যদি হ্যান্সের বয়স এখন ৮ বছর, তাহলে আন্নিকার বয়স কত?","চার বছরে, হ্যান্সের বয়স হবে ৮+৪=<<৮+৪=১২>>১২ বছর।
তখন আনিকার বয়স হবে ১২*৩=<<১২*৩=৩৬>>৩৬ বছর।
তাই আন্নিকার বয়স এখন ৩৬-৪=<<৩৬-৪=৩২>>৩২ বছর।
#### ৩২"
"রুমি প্রতিটি ৭ ডলারে ২৪ টি টিকিট কিনেছেন। এতগুলি কেনার জন্য, তাকে ৫০% ছাড় দেওয়া হয়। কত ডলারে তিনি টিকিটে খরচ করেছেন?","রুমি ২৪ টি টিকিট খরচ করেছেন * প্রতি টিকিটে ৳৭ = ৳<<২৪*৭=১৬৮>>মোট ১৬৮টি।
ডিসকাউন্ট প্রয়োগ করার পরে, জর্জ ৳১৬৮ * ০.৫০ = ৳<<১৬৮*০.৫০=৮৪>>৮৪ খরচ করেছে৷
#### ৮৪"
"সোমবার থেকে শুক্রবার পর্যন্ত, এলি ৩০ মিনিটের জন্য পিয়ানো অনুশীলন করে। শনিবার, তিনি সপ্তাহের দিনের তুলনায় তিনগুণ পিয়ানো অনুশীলন করেন। রবিবার অনুশীলন নেই। এলি প্রতি সপ্তাহে কত ঘন্টা পিয়ানো অনুশীলনে ব্যয় করে?","সোমবার থেকে শুক্রবার পর্যন্ত, Elle ০.৫০ x ৫ = <<০.৫০*৫=২.৫>>২.৫ ঘন্টা অনুশীলন করে।
শনিবার, সে ০.৫০ x ৩ = <<০.৫০*৩=১.৫>>১.৫ ঘন্টা অনুশীলন করে।
প্রতি সপ্তাহে, এলি ২.৫ + ১.৫ = <<২.৫+১.৫=৪>>৪ ঘন্টা পিয়ানো অনুশীলন করে।
#### ৪"
"রুমি রাতে গড়ে ৮ ঘণ্টা ঘুমায়। তার শিশু বোন সামান্থার চেয়ে ২.৫ গুণ বেশি ঘুমায়। কারণ তার বাবা শিশুটিকে দেখে ক্লান্ত হয়ে পড়েছেন, প্রতি ঘন্টায় শিশুটি ঘুমায়, সে ৩০ মিনিট ঘুমায়। তার বাবা এক সপ্তাহে কত ঘন্টা ঘুমায়?","শিশু দিনে ২০ ঘন্টা ঘুমায় কারণ ২.৫ x ৮ = <<২.৫*৮=২০>>২০
শিশুটি বাবার চেয়ে ২ গুণ বেশি ঘুমায় কারণ ৬০/৩০ = <<৬০/৩০=২>>২
বাবা রাতে ১০ ঘন্টা ঘুমায় কারণ ২০/২ = <<২০/২=১০>>১০
বাবা সপ্তাহে ৭০ ঘন্টা ঘুমান কারণ ৭ x ১০ = <<৭*১০=৭০>>৭০
#### ৭০"
"স্কুল স্কুলের পর একটি দৌড়ের আয়োজন করছে। বিজয়ী হলেন সেই ব্যক্তি যিনি ১২ মিনিটে স্কুলের চারপাশে সবচেয়ে বেশি দৌড়ান। স্কুলের চারপাশে একটি ল্যাপ ১০০ মিটার। বিজয়ীকে প্রতি একশ মিটার দৌড়ের জন্য ৳৩.৫ এর সমান একটি উপহারের শংসাপত্র প্রদান করা হয়। বিজয়ী স্কুলের চারপাশে ২৪ টি ল্যাপ চালায়। গড়ে, তারা প্রতি মিনিটে কত আয় করেছে?","তারা ২,৪০০ মিটার দৌড়েছে কারণ ২৪ ল্যাপ x ১০০ মি/ল্যাপ = <<২৪*১০০=২৪০০>>২৪০০ মি
তারা প্রতি মিনিটে ২০০ মিটার দৌড়েছে কারণ ২৪০০ m/১২ মিনিট = <<২৪০০/১২=২০০>>২০০ মি/মিনিট
প্রতি মিনিটে দৌড়ানোর জন্য তারা গড়ে ৳৭ উপার্জন করেছে কারণ ৳৩.৫/১০০m x ২০০ m/min = ৳<<৩.৫/১০০*২০০=৭>>৭/মিনিট
#### ৭"
"মিলি এবং ফ্লোরেটা তাদের বাগানে জল বেলুনের লড়াই করছে। তারা তাদের নিজস্ব জলের বেলুনের ৩ প্যাক ব্যবহার করে এবং প্রতিবেশীর জলের বেলুনগুলির ২ প্যাক ব্যবহার করে। পানির বেলুনের প্রতিটি প্যাকে ৬টি বেলুন থাকে। মিলি এবং ফ্লোরেটা সমস্ত বেলুন পূরণ করে তারপরে সেগুলিকে সমানভাবে বিভক্ত করে, কিন্তু ফ্লোরেটা না দেখলে মিলি অতিরিক্ত ৭টি বেলুন নেয়। ফ্লোরেটার কত জলের বেলুন বাকি আছে?","মিলি এবং ফ্লোরেটার কাছে তাদের নিজস্ব জলের বেলুনের মোট ৩ প্যাক + প্রতিবেশীর জলের বেলুনের ২ প্যাক = <<৩+২=৫>>৫ প্যাক জলের বেলুনের।
সুতরাং মোট ৫ প্যাক জল বেলুন * ৬ বেলুন প্রতি প্যাক জল বেলুন = <<৫*৬=৩০>>৩০ জল বেলুন উপলব্ধ।
যেহেতু তারা তাদের সমানভাবে বিভক্ত করে, তাদের প্রত্যেকের কাছে ৩০টি জলের বেলুন / ২ = <<৩০/২=১৫>>১৫টি জলের বেলুন রয়েছে৷
মিলি কিছু বেলুন চুরি করার পরে, ফ্লোরেটার কাছে ১৫ – ৭ = <<১৫-৭=৮>>৮টি জলের বেলুন রেখে দেওয়া হয়।
#### ৮"
"দুই দৌড়বিদ ১০ মাইল রেসে প্রতিদ্বন্দ্বিতা করছে। প্রথমটি প্রতি মাইলে গড়ে ৮ মিনিটের গতিতে চলে, যখন দ্বিতীয়টি গড়ে ৭ মিনিট প্রতি মাইল গতিতে চলে। ৫৬ মিনিট পর, দ্বিতীয় রানার পানি পান করার জন্য থামে। প্রথম রানার তার সাথে ধরা পড়ার আগে দ্বিতীয় রানার কত মিনিটের জন্য থামতে পারে?","৫৬ মিনিট পর, দ্বিতীয় রানার ৫৬/৭ = <<৫৬/৭=৮>>৮ মাইল ভ্রমণ করেছেন।
একইভাবে, প্রথম রানার ৫৬/৮ = <<৫৬/৮=৭>>৭ মাইল ভ্রমণ করেছেন।
অতএব, দ্বিতীয় রানার থামলে দুই রানার ৮ - ৭ = <<৮-৭=১>>১ মাইল দূরে থাকে।
সুতরাং, দ্বিতীয় রানার সর্বোচ্চ ৮ মিনিটের জন্য থামতে পারে, যা প্রথম রানার ১ মাইল ভ্রমণ করতে যে পরিমাণ সময় নেয়।
#### ৮"
"রুমি নতুন রেসিপি চেষ্টা করছে এবং নিশ্চিত করতে চায় যে সে আলমারিতে উপাদানের মজুদ রাখে। সপ্তাহের শুরুতে আলমারিতে তার একটি ৫০০ গ্রাম আটার ব্যাগ ছিল। তিনি মঙ্গলবার কুকিজ বেক করার সময় ২৪০ গ্রাম ব্যবহার করেছিলেন, এবং ময়দা দূরে রাখার সময় দুর্ঘটনাক্রমে যা অবশিষ্ট ছিল তার অর্ধেক ছিটকে যায়।রুমি যদি আলমারিতে একটি পূর্ণ ব্যাগ ময়দা চায়, তাহলে তাকে গ্রামে কত ময়দা কিনতে হবে?","কুকিজ বেক করার পর, লুসির ৫০০ – ২৪০ = <<৫০০-২৪০=২৬০>>২৬০ গ্রাম ময়দা বাকি ছিল।
তিনি ঘটনাক্রমে এর অর্ধেক ছিটিয়ে ফেলেছেন, যার মানে তার কাছে ২৬০*০.৫ = <<২৬০*০.৫=১৩০>>১৩০ গ্রাম ময়দা বাকি ছিল।
তাই তার প্রয়োজন ৫০০ – ১৩০ = <<৫০০-১৩০=৩৭০>>৩৭০ গ্রাম ময়দা।
#### ৩৭০"
জন সস্তা ক্যালোরি-ঘন খাবার কিনে অর্থ বাঁচানোর চেষ্টা করছেন। তিনি ১০টি বুরিটো কিনতে পারেন ৬ ডলারে যার প্রতিটিতে ১২০ ক্যালোরি রয়েছে। এছাড়াও তিনি ৫টি বার্গার কিনতে পারেন যা ৪০০ ক্যালোরির প্রতিটি ৳৮-এ। তিনি বার্গার থেকে প্রতি ডলারে আরও কত ক্যালোরি পান?,"বুরিটোতে ১০*১২০=<<১০*১২০=১২০০>>১২০০ ক্যালোরি থাকে
তার মানে সে ১২০০/৬=<<১২০০/৬=২০০>>প্রতি ডলারে ২০০ ক্যালোরি পায়
বার্গার ৫*৪০০=<<৫*৪০০=২০০০>>২০০০ ক্যালোরি পায়
তাই সে প্রতি ডলারে ২০০০/৮=<<২০০০/৮=২৫০>>২৫০ ক্যালোরি পায়
তাই সে বার্গার থেকে ২৫০-২০০=<<২৫০-২০০=৫০>>প্রতি ডলারে ৫০ বেশি ক্যালোরি পায়
#### ৫০"
রুমি এক ডজন লেবু কিনে তার প্রতিবেশীকে ১/৪টি দিয়েছিলেন। রুমির কত লেবু বাকি আছে?,"রুমি ১ x ১২ = <<১*১২=১২>>১২টি লেবু কিনেছেন।
সে তার প্রতিবেশীকে ১২ x ১/৪ = <<১২*১/৪=৩>>৩টি লেবু দিয়েছে।
সুতরাং,রুমি ১২ - ৩ = <<১২-৩=৯>>৯টি লেবু রেখে গেছে।
#### ৯"
জন তার চাচার কাছ থেকে ৳১০০ পায় এবং তার বোন জেনাকে সেই টাকার ১/৪ দেয়। সে যায় এবং ৳৪০ মূল্যের মুদি কিনে নেয়। জন কত টাকা বাকি আছে?,"যখন জন তার বোনকে তার অর্থের ১/৪ দেয়, সে ১/৪*১০০ = <<১/৪*১০০=২৫>>২৫ ডলার দিয়ে ভাগ করে
জনস ১০০-২৫ = <<১০০-২৫=৭৫>>৭৫ ডলারের সাথে থাকে।
যখন সে ৳৪০ মূল্যের মুদিখানা কেনে, তখন তার কাছে থাকে ৭৫-৪০ = <<৭৫-৪০=৩৫>>৩৫ ডলার
#### ৩৫"
"রুমি এক সপ্তাহের জন্য একটি আইসক্রিম স্টল পরিচালনা করে। প্রথম দিনে, তিনি ৳১০ উপার্জন করেছেন। এর পর প্রতিদিন, সে আগের দিনের চেয়ে ৳৪ বেশি আয় করেছে। ৫ দিন পর পেন কত টাকা আয় করেছে?","দ্বিতীয় দিনে, পেন ৳১০ + ৳৪ = ৳<<১০+৪=১৪>>১৪ করেছে৷
৩য় দিনে, সে ৳১৪ + ৳৪ = ৳<<১৪+৪=১৮>>১৮ করেছে৷
৪র্থ দিনে, তিনি ৳১৮ + ৳৪ = ৳২২ উপার্জন করেছেন।
৫ম দিনে, তিনি ৳২২ + ৳৪ = ৳<<২২+৪=২৬>>২৬ উপার্জন করেছেন।
৫ দিন পর, পেন মোট ৳১০ + ৳১৪ + ৳১৮ + ৳২২ + ৳২৬ = ৳<<১০+১৪+১৮+২২+২৬=৯০>>৯০ করেছে৷
#### ৯০"
লুইস সামান্থার চেয়ে স্ক্যাভেঞ্জার হান্টে আরও ৪টি আইটেম খুঁজে পেয়েছেন। সামান্থা তানিয়ার চেয়ে চারগুণ আইটেম খুঁজে পেয়েছেন যিনি শুধুমাত্র ৪টি আইটেম খুঁজে পেতে সক্ষম হয়েছেন। লুইস কত আইটেম খুঁজে পেয়েছেন?,"সামান্থা তানিয়ার ৪টি আইটেমের ৪ গুণ আইটেম খুঁজে পেয়েছে তাই সামান্থা ৪*৪ = <<৪*৪=১৬>>১৬টি আইটেম খুঁজে পেয়েছে
লুইস সামান্থার চেয়ে আরও ৪টি আইটেম খুঁজে পেয়েছেন যিনি ১৬ খুঁজে পেয়েছেন তাই তিনি ৪+১৬ = <<৪+১৬=২০>>২০টি আইটেম খুঁজে পেয়েছেন
#### ২০"
মিকা মুদি দোকানে গিয়ে ২ কিলোগ্রাম পাস্তা কিনেছে যার দাম ৳১.৫; ১/৪ কেজি স্থল গরুর মাংসের দাম ১ কিলোগ্রামের জন্য ৳৮; দুই জার পাস্তা সসের দাম ৳২ প্রতি জার। মিকাও স্ন্যাকসের জন্য ৳৬ নুডুলস কিনতে চায়। সে সব কেনার জন্য তার কাছে কত টাকা থাকতে হবে?,"দুই কিলোগ্রাম পাস্তার দাম ৳১.৫ x ২ = ৳<<১.৫*২=৩>>৩.
এক-চতুর্থ কিলোগ্রাম গরুর মাংসের দাম ৳৮ x ১/৪ = ৳<<৮*১/৪=২>>২।
পাস্তা সসের দুটি বয়ামের দাম ৳২ x ২ = ৳<<২*২=৪>>৪।
পাস্তা, গরুর মাংস এবং সসের জন্য মোট খরচ হল ৳৩ + ৳২ + ৳৪ = ৳<<৩+২+৪=৯>>৯৷
যেহেতু মিকা নুডুলস কিনতে চায়, তাই তার ৳৯ + ৳৬ = ৳<<৯+৬=১৫>>১৫ থাকতে হবে।
#### ১৫"
রুমি স্থানীয় পোষা প্রাণীর দোকানে কিছু গেকো বিক্রি করেছিল। ব্র্যান্ডন ১০০ ডলারে গেকো বিক্রি করেছিল। পোষা প্রাণীর দোকান তাদের ৫ এর চেয়ে ৩ গুণ বেশি দামে বিক্রি করে। পোষা প্রাণী দোকান লাভ কত?,"পোষা প্রাণীর দোকান ৫+৩(১০০)=৩০৫৳ এ গেকো বিক্রি করে
পোষা প্রাণীর দোকানে লাভ: ৩০৫-১০০=<<৩০৫-১০০=২০৫>>২০৫৳
#### ২০৫"
"গ্যারি ৬ পাউন্ড ময়দা আছে. তিনি কেক তৈরি করতে ৪ পাউন্ড ময়দা ব্যবহার করবেন যার প্রতিটিতে ০.৫ পাউন্ড ময়দা প্রয়োজন। অবশিষ্ট ২ পাউন্ড ময়দা কাপকেক সেঁকতে ব্যবহার করা হবে, যার জন্য ১/৫ পাউন্ড ময়দা প্রয়োজন। তিনি স্কুলের বেক সেলের জন্য কেকগুলি প্রতিটি ৳২.৫ এবং কাপকেকগুলি ৳১-এ বিক্রি করার পরিকল্পনা করেছেন৷ গ্যারি কত আয় করবে?","গ্যারি ৪ পাউন্ড ময়দা থেকে ৪/০.৫ = <<৪/০.৫=৮>>৮ কেক বেক করতে পারে।
তিনি ২ পাউন্ড ময়দা থেকে ২/১/৫ = ১০ কাপ কেক বেক করতে পারেন।
সুতরাং, সে কেক থেকে ৳২.৫ x ৮ = ৳<<২.৫*৮=২০>>২০ উপার্জন করবে।
সুতরাং, গ্যারি মোট ৳২০ + ৳১০ = ৳<<৩০=৩০>>৮টি কেক এবং ১০টি কাপকেক বেক করে মোট আয় করবে৷
#### ৩০"
"হান্না এই সপ্তাহে কতটা বেতন পাবে তা বের করার চেষ্টা করছে। তিনি ৳৩০/ঘন্টা উপার্জন করেন এবং প্রতি সপ্তাহে ১৮ ঘন্টা কাজ করেন। প্রতিবার দেরি হলে তার বেতন ৳৫ ডক করা হয়। যদি সে এই সপ্তাহে ৩ বার দেরী করে, তাহলে সে কত টাকা পাবে?","হান্নার মোট উপার্জন হল ১৮ ঘন্টা * ৳৩০/ঘন্টা = ৳<<১৮*৩০=৫৪০>>সপ্তাহে ৫৪০৷
তার বেতন ডক করা হয়েছিল কারণ সে ৩ বার দেরি করেছিল, তাই ৩ বার * ৳৫ প্রতি সময় = ৳<<৩*৫=১৫>>১৫টি ডক করা হয়েছিল।
তিনি সপ্তাহের শেষে ৳৫৪০ - ৳১৫ = ৳<<৫৪০-১৫=৫২৫>>৫২৫ বেতন পান।
#### ৫২৫"
