[mistral_nemo] task=qa track=A  total=1000  done=997  todo=3
  [mistral_nemo] qa/A -> full_ecot_run/results/mistral_nemo/qa_gt_ecot.csv
[mistral_nemo] task=qa track=B  total=4000  done=196  todo=3804
  [mistral_nemo] qa/B  20/3804  rate=0.36/s  eta=175.6min  last: verdict_model=yes  agg=yes  sup/con/mis=0/0/4
  [mistral_nemo] summarization/A  180/1000  rate=0.23/s  eta=59.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/A  200/1000  rate=0.23/s  eta=58.1min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/A  220/1000  rate=0.23/s  eta=56.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/A  240/1000  rate=0.23/s  eta=54.8min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/A  260/1000  rate=0.23/s  eta=53.3min  last: verdict_model=no  agg=no  sup/con/mis=3/0/0
  [mistral_nemo] summarization/A  280/1000  rate=0.23/s  eta=51.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/A  300/1000  rate=0.23/s  eta=50.4min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/A  320/1000  rate=0.23/s  eta=49.2min  last: verdict_model=no  agg=no  sup/con/mis=3/0/0
  [mistral_nemo] summarization/A  340/1000  rate=0.23/s  eta=47.7min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/A  360/1000  rate=0.23/s  eta=46.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/A  380/1000  rate=0.23/s  eta=44.9min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  400/1000  rate=0.23/s  eta=43.7min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/A  420/1000  rate=0.23/s  eta=42.3min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/A  440/1000  rate=0.23/s  eta=41.0min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/A  460/1000  rate=0.23/s  eta=39.4min  last: verdict_model=no  agg=no  sup/con/mis=8/0/1
  [mistral_nemo] summarization/A  480/1000  rate=0.23/s  eta=38.1min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/A  500/1000  rate=0.23/s  eta=36.7min  last: verdict_model=no  agg=no  sup/con/mis=7/0/0
  [mistral_nemo] summarization/A  520/1000  rate=0.23/s  eta=35.3min  last: verdict_model=no  agg=yes  sup/con/mis=3/1/1
  [mistral_nemo] summarization/A  540/1000  rate=0.23/s  eta=33.8min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/A  560/1000  rate=0.23/s  eta=32.4min  last: verdict_model=no  agg=yes  sup/con/mis=5/0/4
  [mistral_nemo] summarization/A  580/1000  rate=0.23/s  eta=30.9min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/A  600/1000  rate=0.23/s  eta=29.4min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/A  620/1000  rate=0.23/s  eta=28.0min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/A  640/1000  rate=0.23/s  eta=26.6min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  660/1000  rate=0.23/s  eta=25.2min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/A  680/1000  rate=0.22/s  eta=23.7min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  700/1000  rate=0.23/s  eta=22.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/A  720/1000  rate=0.23/s  eta=20.7min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/4
  [mistral_nemo] summarization/A  740/1000  rate=0.23/s  eta=19.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/A  760/1000  rate=0.22/s  eta=17.8min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  780/1000  rate=0.22/s  eta=16.3min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/A  800/1000  rate=0.22/s  eta=14.9min  last: verdict_model=no  agg=no  sup/con/mis=2/0/0
  [mistral_nemo] summarization/A  820/1000  rate=0.22/s  eta=13.4min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/A  840/1000  rate=0.22/s  eta=11.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/2
  [mistral_nemo] summarization/A  860/1000  rate=0.22/s  eta=10.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/4
  [mistral_nemo] summarization/A  880/1000  rate=0.22/s  eta=8.9min  last: verdict_model=no  agg=no  sup/con/mis=6/0/1
  [mistral_nemo] summarization/A  900/1000  rate=0.22/s  eta=7.5min  last: verdict_model=no  agg=no  sup/con/mis=11/0/0
  [mistral_nemo] summarization/A  920/1000  rate=0.22/s  eta=6.0min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/A  940/1000  rate=0.22/s  eta=4.5min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/A  960/1000  rate=0.22/s  eta=3.0min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/A  980/1000  rate=0.22/s  eta=1.5min  last: verdict_model=no  agg=no  sup/con/mis=9/0/0
  [mistral_nemo] summarization/A  1000/1000  rate=0.22/s  eta=0.0min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/A -> full_ecot_run/results/mistral_nemo/summarization_gt_ecot.csv
[mistral_nemo] task=summarization track=B  total=3000  done=0  todo=3000
  [mistral_nemo] summarization/B  20/3000  rate=0.23/s  eta=220.6min  last: verdict_model=no  agg=yes  sup/con/mis=0/0/3
  [mistral_nemo] summarization/B  40/3000  rate=0.24/s  eta=202.8min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  60/3000  rate=0.24/s  eta=206.2min  last: verdict_model=no  agg=no  sup/con/mis=3/0/0
  [mistral_nemo] summarization/B  80/3000  rate=0.24/s  eta=204.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  100/3000  rate=0.23/s  eta=207.1min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  120/3000  rate=0.23/s  eta=209.1min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/4
  [mistral_nemo] summarization/B  140/3000  rate=0.23/s  eta=206.8min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  160/3000  rate=0.23/s  eta=202.8min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  180/3000  rate=0.23/s  eta=200.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  200/3000  rate=0.23/s  eta=200.1min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  220/3000  rate=0.23/s  eta=200.1min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  240/3000  rate=0.23/s  eta=201.0min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/1
  [mistral_nemo] summarization/B  260/3000  rate=0.23/s  eta=200.4min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  280/3000  rate=0.23/s  eta=198.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  300/3000  rate=0.23/s  eta=199.4min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/B  320/3000  rate=0.22/s  eta=200.3min  last: verdict_model=no  agg=yes  sup/con/mis=0/0/3
  [mistral_nemo] summarization/B  340/3000  rate=0.22/s  eta=199.4min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  360/3000  rate=0.22/s  eta=197.3min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  380/3000  rate=0.22/s  eta=195.7min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  400/3000  rate=0.22/s  eta=193.5min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  420/3000  rate=0.22/s  eta=194.3min  last: verdict_model=unknown  agg=unknown  sup/con/mis=0/0/0
  [mistral_nemo] summarization/B  440/3000  rate=0.22/s  eta=192.9min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  460/3000  rate=0.22/s  eta=191.8min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/B  480/3000  rate=0.22/s  eta=190.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/2
  [mistral_nemo] summarization/B  500/3000  rate=0.22/s  eta=189.8min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  520/3000  rate=0.22/s  eta=187.7min  last: verdict_model=no  agg=yes  sup/con/mis=3/1/1
  [mistral_nemo] summarization/B  540/3000  rate=0.22/s  eta=186.3min  last: verdict_model=no  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] summarization/B  560/3000  rate=0.22/s  eta=185.0min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  580/3000  rate=0.22/s  eta=184.1min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  600/3000  rate=0.22/s  eta=182.7min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/B  620/3000  rate=0.22/s  eta=181.0min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/3
  [mistral_nemo] summarization/B  640/3000  rate=0.22/s  eta=179.3min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  660/3000  rate=0.22/s  eta=178.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  680/3000  rate=0.22/s  eta=176.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  700/3000  rate=0.22/s  eta=174.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] summarization/B  720/3000  rate=0.22/s  eta=173.6min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  740/3000  rate=0.22/s  eta=172.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  760/3000  rate=0.22/s  eta=170.7min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  780/3000  rate=0.22/s  eta=169.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  800/3000  rate=0.22/s  eta=168.3min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  820/3000  rate=0.22/s  eta=166.7min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/B  840/3000  rate=0.22/s  eta=165.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] summarization/B  860/3000  rate=0.22/s  eta=163.7min  last: verdict_model=no  agg=yes  sup/con/mis=0/0/1
  [mistral_nemo] summarization/B  880/3000  rate=0.22/s  eta=162.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  900/3000  rate=0.22/s  eta=161.2min  last: verdict_model=no  agg=yes  sup/con/mis=3/1/3
  [mistral_nemo] summarization/B  920/3000  rate=0.22/s  eta=160.3min  last: verdict_model=no  agg=no  sup/con/mis=6/0/2
  [mistral_nemo] summarization/B  940/3000  rate=0.22/s  eta=158.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/1
  [mistral_nemo] summarization/B  960/3000  rate=0.22/s  eta=157.5min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  980/3000  rate=0.22/s  eta=155.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/1
  [mistral_nemo] summarization/B  1000/3000  rate=0.22/s  eta=154.8min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1020/3000  rate=0.21/s  eta=153.6min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] summarization/B  1040/3000  rate=0.21/s  eta=152.3min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] summarization/B  1060/3000  rate=0.21/s  eta=150.9min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1080/3000  rate=0.21/s  eta=149.2min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1100/3000  rate=0.21/s  eta=147.7min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1120/3000  rate=0.21/s  eta=146.0min  last: verdict_model=no  agg=no  sup/con/mis=5/0/1
  [mistral_nemo] summarization/B  1140/3000  rate=0.21/s  eta=144.5min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1160/3000  rate=0.21/s  eta=143.1min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] summarization/B  1180/3000  rate=0.21/s  eta=141.5min  last: verdict_model=no  agg=yes  sup/con/mis=4/1/2
  [mistral_nemo] summarization/B  1200/3000  rate=0.21/s  eta=140.3min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1220/3000  rate=0.21/s  eta=138.9min  last: verdict_model=no  agg=no  sup/con/mis=5/0/2
  [mistral_nemo] summarization/B  1240/3000  rate=0.21/s  eta=137.4min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1260/3000  rate=0.21/s  eta=135.9min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/1
  [mistral_nemo] summarization/B  1280/3000  rate=0.21/s  eta=134.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  1300/3000  rate=0.21/s  eta=132.8min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1320/3000  rate=0.21/s  eta=131.4min  last: verdict_model=no  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] summarization/B  1340/3000  rate=0.21/s  eta=129.7min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1360/3000  rate=0.21/s  eta=128.0min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1380/3000  rate=0.21/s  eta=126.6min  last: verdict_model=no  agg=yes  sup/con/mis=4/1/2
  [mistral_nemo] summarization/B  1400/3000  rate=0.21/s  eta=125.1min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1420/3000  rate=0.21/s  eta=123.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1440/3000  rate=0.21/s  eta=122.2min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1460/3000  rate=0.21/s  eta=120.8min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/3
  [mistral_nemo] summarization/B  1480/3000  rate=0.21/s  eta=119.0min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/3
  [mistral_nemo] summarization/B  1500/3000  rate=0.21/s  eta=117.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/3
  [mistral_nemo] summarization/B  1520/3000  rate=0.21/s  eta=116.0min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1540/3000  rate=0.21/s  eta=114.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1560/3000  rate=0.21/s  eta=112.9min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1580/3000  rate=0.21/s  eta=111.2min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  1600/3000  rate=0.21/s  eta=109.3min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1620/3000  rate=0.21/s  eta=107.8min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1640/3000  rate=0.21/s  eta=106.2min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  1660/3000  rate=0.21/s  eta=104.7min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1680/3000  rate=0.21/s  eta=103.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1700/3000  rate=0.21/s  eta=101.7min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  1720/3000  rate=0.21/s  eta=100.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1740/3000  rate=0.21/s  eta=98.7min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1760/3000  rate=0.21/s  eta=97.0min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  1780/3000  rate=0.21/s  eta=95.5min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/4
  [mistral_nemo] summarization/B  1800/3000  rate=0.21/s  eta=93.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1820/3000  rate=0.21/s  eta=92.2min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1840/3000  rate=0.21/s  eta=90.8min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1860/3000  rate=0.21/s  eta=89.3min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  1880/3000  rate=0.21/s  eta=87.8min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  1900/3000  rate=0.21/s  eta=86.3min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  1920/3000  rate=0.21/s  eta=84.7min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/1
  [mistral_nemo] summarization/B  1940/3000  rate=0.21/s  eta=83.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/1
  [mistral_nemo] summarization/B  1960/3000  rate=0.21/s  eta=81.6min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  1980/3000  rate=0.21/s  eta=80.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2000/3000  rate=0.21/s  eta=78.5min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/3
  [mistral_nemo] summarization/B  2020/3000  rate=0.21/s  eta=77.0min  last: verdict_model=no  agg=yes  sup/con/mis=4/1/2
  [mistral_nemo] summarization/B  2040/3000  rate=0.21/s  eta=75.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2060/3000  rate=0.21/s  eta=73.8min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2080/3000  rate=0.21/s  eta=72.2min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  2100/3000  rate=0.21/s  eta=70.7min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  2120/3000  rate=0.21/s  eta=69.1min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  2140/3000  rate=0.21/s  eta=67.5min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] summarization/B  2160/3000  rate=0.21/s  eta=66.0min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2180/3000  rate=0.21/s  eta=64.4min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] summarization/B  2200/3000  rate=0.21/s  eta=62.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2220/3000  rate=0.21/s  eta=61.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2240/3000  rate=0.21/s  eta=59.7min  last: verdict_model=no  agg=yes  sup/con/mis=5/1/1
  [mistral_nemo] summarization/B  2260/3000  rate=0.21/s  eta=58.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2280/3000  rate=0.21/s  eta=56.6min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  2300/3000  rate=0.21/s  eta=55.0min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  2320/3000  rate=0.21/s  eta=53.5min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  2340/3000  rate=0.21/s  eta=51.9min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/1
  [mistral_nemo] summarization/B  2360/3000  rate=0.21/s  eta=50.3min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/B  2380/3000  rate=0.21/s  eta=48.8min  last: verdict_model=no  agg=no  sup/con/mis=4/0/1
  [mistral_nemo] summarization/B  2400/3000  rate=0.21/s  eta=47.2min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/1
  [mistral_nemo] summarization/B  2420/3000  rate=0.21/s  eta=45.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/2
  [mistral_nemo] summarization/B  2440/3000  rate=0.21/s  eta=44.0min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2460/3000  rate=0.21/s  eta=42.5min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] summarization/B  2480/3000  rate=0.21/s  eta=40.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2500/3000  rate=0.21/s  eta=39.4min  last: verdict_model=no  agg=yes  sup/con/mis=6/0/3
  [mistral_nemo] summarization/B  2520/3000  rate=0.21/s  eta=37.8min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/5
  [mistral_nemo] summarization/B  2540/3000  rate=0.21/s  eta=36.2min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2560/3000  rate=0.21/s  eta=34.6min  last: verdict_model=no  agg=yes  sup/con/mis=0/0/2
  [mistral_nemo] summarization/B  2580/3000  rate=0.21/s  eta=33.0min  last: verdict_model=no  agg=no  sup/con/mis=5/0/1
  [mistral_nemo] summarization/B  2600/3000  rate=0.21/s  eta=31.4min  last: verdict_model=no  agg=no  sup/con/mis=6/0/0
  [mistral_nemo] summarization/B  2620/3000  rate=0.21/s  eta=29.9min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2640/3000  rate=0.21/s  eta=28.3min  last: verdict_model=no  agg=yes  sup/con/mis=3/1/3
  [mistral_nemo] summarization/B  2660/3000  rate=0.21/s  eta=26.7min  last: verdict_model=yes  agg=yes  sup/con/mis=2/1/2
  [mistral_nemo] summarization/B  2680/3000  rate=0.21/s  eta=25.1min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  2700/3000  rate=0.21/s  eta=23.5min  last: verdict_model=no  agg=yes  sup/con/mis=2/2/3
  [mistral_nemo] summarization/B  2720/3000  rate=0.21/s  eta=22.0min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] summarization/B  2740/3000  rate=0.21/s  eta=20.4min  last: verdict_model=no  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] summarization/B  2760/3000  rate=0.21/s  eta=18.8min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/3
  [mistral_nemo] summarization/B  2780/3000  rate=0.21/s  eta=17.3min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  2800/3000  rate=0.21/s  eta=15.7min  last: verdict_model=no  agg=yes  sup/con/mis=1/0/3
  [mistral_nemo] summarization/B  2820/3000  rate=0.21/s  eta=14.1min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/1
  [mistral_nemo] summarization/B  2840/3000  rate=0.21/s  eta=12.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/1/1
  [mistral_nemo] summarization/B  2860/3000  rate=0.21/s  eta=11.0min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/2
  [mistral_nemo] summarization/B  2880/3000  rate=0.21/s  eta=9.4min  last: verdict_model=no  agg=yes  sup/con/mis=4/0/2
  [mistral_nemo] summarization/B  2900/3000  rate=0.21/s  eta=7.9min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/3
  [mistral_nemo] summarization/B  2920/3000  rate=0.21/s  eta=6.3min  last: verdict_model=no  agg=no  sup/con/mis=3/0/0
  [mistral_nemo] summarization/B  2940/3000  rate=0.21/s  eta=4.7min  last: verdict_model=no  agg=yes  sup/con/mis=4/2/2
  [mistral_nemo] summarization/B  2960/3000  rate=0.21/s  eta=3.2min  last: verdict_model=no  agg=yes  sup/con/mis=3/0/2
  [mistral_nemo] summarization/B  2980/3000  rate=0.21/s  eta=1.6min  last: verdict_model=no  agg=yes  sup/con/mis=2/0/3
  [mistral_nemo] summarization/B  3000/3000  rate=0.21/s  eta=0.0min  last: verdict_model=yes  agg=yes  sup/con/mis=1/1/2
  [mistral_nemo] summarization/B -> full_ecot_run/results/mistral_nemo/summarization_hallu_ecot.csv
[mistral_nemo] task=reasoning track=A  total=1000  done=0  todo=1000
  [mistral_nemo] reasoning/A  20/1000  rate=0.15/s  eta=107.5min  last: verdict_model=yes  agg=yes  sup/con/mis=3/0/3
  [mistral_nemo] reasoning/A  40/1000  rate=0.15/s  eta=104.4min  last: verdict_model=no  agg=no  sup/con/mis=3/0/0
  [mistral_nemo] reasoning/A  60/1000  rate=0.15/s  eta=102.0min  last: verdict_model=yes  agg=no  sup/con/mis=3/0/1
  [mistral_nemo] reasoning/A  80/1000  rate=0.15/s  eta=100.9min  last: verdict_model=no  agg=no  sup/con/mis=4/0/0
  [mistral_nemo] reasoning/A  100/1000  rate=0.15/s  eta=97.4min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  120/1000  rate=0.15/s  eta=95.4min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
  [mistral_nemo] reasoning/A  140/1000  rate=0.15/s  eta=92.8min  last: verdict_model=yes  agg=yes  sup/con/mis=1/0/2
  [mistral_nemo] reasoning/A  160/1000  rate=0.15/s  eta=92.1min  last: verdict_model=no  agg=no  sup/con/mis=5/0/0
