blind_id,bengali_context,bengali_question,bengali_answer,banglish_context,banglish_question,banglish_answer,meaning_preserved,naturalness_1to5
conversion-0052,আবু বকর ৫৭৩ সালের দিকে মক্কার কুরাইশ বংশের বনু তাইম গোত্রে জন্মগ্রহণ করেছেন।[6] তার বাবার নাম আবু কুহাফা ও মায়ের নাম সালমা বিনতে সাখার।,ইসলামের প্রথম খলিফা আবু বকর কবে জন্মগ্রহণ করেন ?,৫৭৩ সালে,Abu Bakar 573 saler dike Makkar Quraysh bongser Banu Taim gotre jonmogrohon korechen.[6] tar babar nam Abu Quhafa o mayer nam Salma binte Sakhar.,Islamer prothom khalifa Abu Bakr kobe jonmogrohon koren?,573 sale,,
conversion-0053,"মিয়ানমারের মোট আয়তন ৬৭৬,৫৫২ বর্গকিলোমিটার। উত্তর-দক্ষিণে এর দৈর্ঘ্য প্রায় ২,০৮৫ কিলোমিটার। পূর্ব-পশ্চিমে এর সর্বোচ্চ বিস্তার প্রায় ৯৩০ কিলোমিটার। উপকূলীয় এলাকাটি নিম্ন মিয়ানমার এবং অভ্যন্তরীণ অংশটি ঊর্ধ্ব মিয়ানমার নামে পরিচিত। অশ্বখুরাকৃতি পর্বতব্যবস্থা ও ইরাবতী নদীর উপত্যকা দেশটির ভূ-সংস্থানের প্রধান বৈশিষ্ট্য। উত্তরের পর্বতগুলির সর্বোচ্চ শৃঙ্গ হকাকাবো রাজি-র উচ্চতা ৫,৮৮১ মিটার। এটি দক্ষিণ-পূর্ব এশিয়ার সর্বোচ্চ শৃঙ্গ। আরও দুইটি পর্বতব্যবস্থা উত্তর থেকে দক্ষিণে বিস্তৃত। আরাকান ইয়োমা পর্বতমালাটি মিয়ানমার ও ভারতীয় উপমহাদেশের মধ্যে একটি প্রাচীরের সৃষ্টি করেছে। এর পর্বতগুলির উচ্চতা প্রধানত ৯১৫ মিটার থেকে ১,৫২৫ মিটার পর্যন্ত হয়। অন্যদিকে শান মালভূমি থেকে বিলাউকতাউং পর্বতশ্রেণীটি প্রসারিত হয়ে দক্ষিণ-পূর্ব নিম্ন মিয়ানমার এবং দক্ষিণ-পশ্চিম থাইল্যান্ডের সীমান্ত বরাবর চলে গেছে। শান মালভূমিটি চীন থেকে প্রসারিত হয়েছে এবং এর গড় উচ্চতা প্রায় ১,২১৫ মিটার।",মায়ানমারের বর্তমান (২০১৯) আয়তন কত ?,"৬৭৬,৫৫২ বর্গকিলোমিটার","Myanmar-er mot ayoton 676,552 borgokilometer. Uttar-dokkhin e er doirgho pray 2,085 kilometer. Purbo-poshchime er sorbocho bistar pray 930 kilometer. Upokuliyo elakati nimno Myanmar ebong obhontorin angshoti urdho Myanmar name porichito. Oshwokhurakriti porbotbyabostha o Iraboti nodir upotyaka deshtir bhu-songsthaner prodhan boishishto. Uttorer porbotgulir sorbocho shringo Hkakabo Razi-r uchchota 5,881 meter. Eti dokkhin-purbo Asia-r sorbocho shringo. Aro duiti porbotbyabostha uttar theke dokkhine bistrito. Arakan Yoma porbotmalati Myanmar o Bharotiyo upomohodesher moddhe ekti",Myanmar-er bortoman (2019) ayoton koto?,"676,552 borgokilometer",,
conversion-0054,"বস্তুত, কাগজ শব্দটি আরবী মূলক। এছাড়া দোয়াত, কলমও এজাতীয় আরবি শব্দ। সুতরাং কাগজ শব্দটি আরবি হলেও প্রাচীন হিন্দুরাজ্য সময়ে ভারতে কাগজের ব্যবহার ছিল এমনটা মনে করা হয়।[4]",কাগজ শব্দটি কোন ধরণের বাংলা শব্দ ?,আরবী মূলক,"Bostut, kagoj shobdoti Arbi mulok. Echara doyat, kolom-o ejatiyo Arbi shobdo. Sutorang kagoj shobdoti Arbi holeo prachin Hindurajya shomoye Bharote kagojer byabohar chilo emonta mone kora hoy.[4]",kagoj shobdoti kon dhoroner Bangla shobdo?,Arbi mulok,,
conversion-0055,আনোয়ার ইব্রাহীম ইউনাইটেড মালয় ন্যাশনাল অর্গানাইজেশন বা ইউএমএনও ( UMNO ) এর সদস্য থাকাকালীন সময়ে ১৯৯৩-১৯৯৮ সাল পর্যন্ত মালয়েশিয়ার উপ-প্রধানমন্ত্রী এবং ১৯৯১-১৯৯৮ সাল পর্যন্ত অর্থ মন্ত্রীর দায়িত্ব পালন করেন। কিন্তু পরে তিনি প্রধানমন্ত্রী মাহাথির মোহাম্মদ কর্তৃক বরখাস্ত হন। এবং দুর্নীতি ও সমকামিতার দায়ে জেলহাজতে প্রেরিত হন।,মালয়েশিয়ান রাজনীতিবিদ ও বিরোধীদলীয় নেতা আনোয়ার ইব্রাহীম কত সাল থেকে কত সাল পর্যন্ত মালয়েশিয়ার উপ-প্রধানমন্ত্রী ছিলেন ?,১৯৯৩-১৯৯৮,Anowar Ibrahim United Malay National Organization ba UMNO er sodossho thakakalin somoye 1993-1998 sal porjonto Malaysia-r upo-prodhanmontri ebong 1991-1998 sal porjonto ortho montrir daitto palon koren. Kintu pore tini prodhanmontri Mahathir Mohammad kortik borkhasto hon. Ebong durniti o somokamitar daye jelhajote prerit hon.,Malaysian rajnitibid o birodhidoliyo neta Anwar Ibrahim koto sal theke koto sal porjonto Malaysia-r up-pradhanmontri chilen?,1993-1998,,
conversion-0056,"সুই সম্রাট ওয়েন (隋文帝; ২১ জুলাই, ৫৪১ – ১৩ আগস্ট, ৬০৪) ছিলেন চীনের সুই সাম্রাজ্যের (৫৮১ – ৬১৮) প্রতিষ্ঠাতা ও প্রথম সম্রাট। তার পারিবারিক নাম ছিল ইয়াং জিয়ান, সিয়ানবেই নাম পালিউরু জিয়ান, এবং ডাকনাম নালুওইয়ান। তিনি বৌদ্ধ ধর্মের অনুসারী ছিলেন এবং তার সাম্রাজ্যে বৌদ্ধ ধর্ম প্রচারের জন্য কাজ করেন।[2] জিন সাম্রাজ্য সময়কালের পর চীনকে পুনরায় একত্রিত করার জন্য তাকে চীনের ইতিহাসের একজন গুরুত্বপূর্ণ শাসক বলে অভিহিত করা হয়। তার শাসনামলে চীনের মহাপ্রাচীর বর্ধিতকরণের কাজ করা হয় এবং গ্র্যান্ড খাল খনন করা হয়।[3]",সুই সাম্রাজ্যের প্রথম সম্রাট কে ছিলেন ?,সুই সম্রাট ওয়েন,"Sui Somrat Wen (Sui Wendi; 21 July, 541 – 13 August, 604) chilen Chiner Sui Samrajyer (581 – 618) protishthata o prothom somrat. Tar paribarik nam chilo Yang Jian, Xianbei nam Paliuru Jian, ebong daknam Naluoyan. Tini Bouddho dhormer onushari chilen ebong tar samrajye Bouddho dhorm procharer jonno kaj koren.[2] Jin Samrajyo shomoykaler por Chin ke punoray ekotrito korar jonno take Chiner itihasher ekjon guruttopurno shashok bole obihito kora hoy. Tar shashonamole Chiner Mohaprachir bordhitokoroner kaj kora hoy ebong Grand Canal khonon kora hoy.[3]",Sui samrajyer prothom somrat ke chilen?,sui somrat oen,,
conversion-0057,"রিজওয়ানা হাসানের পৈতৃক নিবাস হবিগঞ্জ, যদিও জন্মেছেন ঢাকার ধানমন্ডিতে ১৯৬৮ খ্রিস্টাব্দের ১৫ জানুয়ারি।[7] বাবা সৈয়দ মহিবুল হাসান, মা সুরাইয়া হাসান। বাবা-মায়ের একমাত্র কন্যা তিনি এবং পরিবারে সবার ছোট।[7] পরবর্তীতে সহপাঠী আইনবিদ ব্যবসায়ী আবু বকর সিদ্দিক-এর সাথে বিবাহবন্ধনে আবদ্ধ হন। তিনি তিন সন্তানের জননী: মেয়ে নেহলা, দুই ছেলে যাবির ও জিদান।[3]",সৈয়দা রিজওয়ানা হাসানের বাবার নাম কী ?,সৈয়দ মহিবুল হাসান,"Rizwana Hasaner poitrik nibash Hobiganj, jodio jonmechen Dhakar Dhanmondite 1968 Khristabder 15 January.[7] Baba Syed Mohibul Hasan, ma Suraiya Hasan. Baba-mayer ekmatro konna tini ebong poribare sobar choto.[7] Porobortite sohopathi ainbid byaboshayi Abu Bakar Siddik-er sathe bibahobondhone aboddho hon. Tini tin shontaner jononi: meye Nehla, dui chele Jabir o Zidan.[3]",Soyeda Rizwana Hasaner babar nam ki?,Soiyod Mohibul Hasan,,
conversion-0058,"মলয় রায়চৌধুরীর প্রথম কাব্যগ্রন্হ শয়তানের মুখ ১৯৬৩ সালে কৃত্তিবাস প্রকাশনী ধেকে প্রকাশিত হয়েছিল। পরীক্ষা-নিরীক্ষার কারণে গ্রন্হটিকে একটি জলবিভাজক বলে মনে করা হয়। মলয় তাঁর প্রতিটি কাব্যগ্রন্হে পরীক্ষা-নিরীক্ষা করেছেন এবং একটি সম্পূর্ণ ভিন্ন ধারার কবিতার জনকরূপে বাংলা সাহিত্যে একটি বিশেষ স্হান করে নিয়েছেন। তাঁর কবিতা বাংলাসাহিত্যের সনাতন ঐতিহ্যকে, নিয়মানুবর্তিতাকে, আমূল নাড়া দিয়েছিল। কবিতার ভাষায়, ছন্দে, অলংকারে, চিত্রকল্পে তুমূল ভাংচুর পাঠকের অভ্যস্ত চোখ ও কানকে বিব্রত করেছিল। যৌনতার সংগে তিনি এনেছিলেন ব্যঙ্গ, আত্মপরিহাস ও অসহায় মানুষের নিষগফলতার যন্ত্রণা। উপন্যাস ও ছোটগল্পে তিনি নিজস্ব গদ্য সৃষ্টি করেছেন এবং তাঁর প্রবন্ধকে আপোষহীন বলে মনে করা হয়। তাঁর নাটক তিনটিকে বলা হয়েছে উত্তরাধুনিক, যদিও সেগুলি হাংরি আন্দোলনের সময়ে রচিত। তার প্রবন্ধ ও পোলেমিক্সগুলি থেকে স্পষ্ট হয় কেন তাঁকে প্রতিষ্ঠানবিরোধিতার জনক বলা হয়। মলয় যাঁদের কাজ অনুবাদ করেছেন তাদের মধ্যে উল্লেখযোগ্য হলেন উইলিয়াম ব্লেক, জাঁ ককতো, সালভাদোর দালি, পল গঁগা, ব্লাইজি সঁদরা, ত্রিস্তান জারা, অ্যালেন গিন্সবার্গ, লরেন্স ফেরলিংঘেট্টি, পাবলো নেরুদা এবং ফেদেরিকো গারথিয়া লোরকা।মলয় গ্রন্হে সম্পাদক মুর্শিদ এ. এম. ভূমিকায় জানিয়েছেন যে নব্বুই দশকের পর রচিত তার সাহিত্যকর্মকে বলা হয়েছে অধুনান্তিক।",বাঙালি হাংরিয়ালিজম যুগের লেখক মলয় রায়চৌধুরীর প্রথম প্রকাশিত কাব্যগ্রন্থের নাম কী ?,শয়তানের মুখ,"Moloy Raychoudhurir prothom kabyagrantho Shoytaner Mukh 1963 sale Krittibas Prokashoni theke prokashito hoyechhilo. Porikkha-nirikhar karone granthotike ekta jolbibhajok bole mone kora hoy. Moloy tar protiti kabyagranth e porikkha-nirikha korechen ebong ekta shompurno vhinno dharar kobitar jonokrupe Bangla sahitye ekta bishesh sthan kore niyechen. Tar kobita Bangla sahityer sonaton oitihyoke, niyomanubortitake, amul nara diyechhilo. Kobitar vashay, chhonde, olongkare, chitrokolpe tumul bhangchur pathoker obhyosto chokh o kanke bibroto korechhilo. J",Bangali Hangriyalizm juger lekhok Moloy Raychoudhurir prothom prokashito kabyogranther nam ki?,Shoytaner mukh,,
conversion-0059,খাদিজা বিনতে খুওয়াইলিদ (Arabic: خديجة بنت خويلد‎) হলেন ইসলাম গ্রহণকারী প্রথম ব্যক্তি এবং এই মহাবিশ্বের সর্বশেষ নবী মুহাম্মদ (স.) এর প্রথম স্ত্রী।[1] তার কুনিয়া উম্মু হিন্দ এবং উপাধি তাহিরা। ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের জন্য তাহিরা উপাধি লাভ করেন; যার অর্থ পবিত্র।[2],নবী মুহাম্মদের প্রথম স্ত্রীর নাম কী ?,খাদিজা বিনতে খুওয়াইলিদ,Khadija binte Khuwaylid (Arabic: Khadija bint Khuwaylid) holen Islam grohonkari prothom bekti ebong ei mohabishwer sorbosesh Nabi Muhammad (s.) er prothom stri.[1] Tar kuniya Ummu Hind ebong upadhi Tahira. Islam grohoner agei pobitro choritrer jonno Tahira upadhi lav koren; jar ortho pobitro.[2],Nobi Muhammad er prothom strir nam ki?,Khadija binte Khuwaylid,,
conversion-0060,"স্ক্যিদ-ল্দে-ন্যিমা-গোনের অপর পুত্র ও জাংস্কার রাজ্যের প্রতিষ্ঠাতা ল্দে-গ্ত্সুগ-ম্গোনের পুত্রহীন অবস্থায় মৃত্যু হলে ৯৬৭ খ্রিষ্টাব্দে ব্যাং-ছুব-য়ে-শেস'-ওদ গুজ, পু-হ্রাং, জাংস্কার, স্পিতি, লাহুল এবং উত্তর কিন্নর অঞ্চলকে একত্র করে এক সংগঠিত রাজ্যের অধীশ্বর হন।[32][33] তিনি রাজত্বকালের শুরুতে ব্কা'-শোগ-ছেন-মো (Wylie: bka’ shog chen mo) নামক একটি আদেশ জারি করে তাঁর রাজত্বকে ধর্মীয় ভিত্তিতে চালনা করবেন বলে স্থির করেন। সেই কারণে তিনি একাধারে রাজা ও লামা উভয় হিসেবে পরিচিতি লাভ করেন।[33][34] তিনি তিব্বতে দ্বিতীয়বার বৌদ্ধধর্ম প্রসারের জন্যও বিখ্যাত। তিনি কাশ্মীরে বৌদ্ধধর্ম শিক্ষার উদ্দেশ্যে তিব্বত থেকে একুশ জন শিক্ষার্থীকে পাঠান। সংস্কৃত থেকে তিব্বতী ভাষায় বৌদ্ধ ধর্ম গ্রন্থগুলির অনুবাদ করা তাঁদের এই শিক্ষালাভের উদ্দেশ্য ছিল। এঁদের মধ্যে রিন-ছেন-ব্জাং-পো এবং লেগ্স-পা'ই-শেস-রাব (Wylie: legs pa'i shes rab) নামক দুইজন শিক্ষার্থী পরবর্তীকালে তিব্বতে বৌদ্ধ ধর্ম প্রসারে সহায়ক হন। রিন-ছেন-ব্জাং-পো বহু সংস্কৃত গ্রন্থের তিব্বতী ভাষায় অনুবাদ করেন এবং লাদাখ অঞ্চলে বহু বৌদ্ধবিহার নির্মাণ করেন।[35] ৯৯৭ খ্রিষ্টাব্দে ব্যাং-ছুব-য়ে-শেস'-ওদ থোলিং বৌদ্ধবিহার নির্মাণ করেন।[35] ব্যাং-ছুব-য়ে-শেস'-ওদ কয়েক জন দূতের হাতে প্রচুর স্বর্ণ উপঢৌকন দিয়ে অতীশ দীপঙ্করকে তিব্বত ভ্রমণের আমন্ত্রন জানালে দীপঙ্কর সবিনয়ে তা প্রত্যাখ্যান করেন। এই সময় তিনি সীমান্ত অঞ্চলে সোনা সংগ্রহের জন্য গেলে কারাখানী খানাতের শাসক তাঁকে বন্দী করেন ও প্রচুর সোনা মুক্তিপণ হিসেবে দাবী করেন। তিনি তাঁর পুত্র ল্হা-লামা-ব্যাং-ছুব-ওদকে মুক্তিপণ দিতে বারণ করেন এবং ঐ অর্থ অতীশ দীপঙ্করকে তিব্বতে আনানোর জন্য ব্যয় করতে বলেন। বন্দীদশায় তাঁর মৃত্যু হয়। ল্হা-লামা-ব্যাং-ছুব-ওদ গুজ রাজ্যের রাজা হয়ে গুং-থং-পা নামে এক বৌদ্ধ উপাসককে ও আরো কয়েক জন অনুগামীকে অতীশ দীপঙ্করকে তিব্বতে আনানোর দায়িত্ব দেন। এরা নেপালের পথে বিক্রমশীলা বিহারে উপস্থিত হন এবং দীপঙ্করের সাথে সাক্ষাৎ করে সমস্ত সোনা নিবেদন করে ভূতপূর্ব রাজা ব্যাং-ছুব-য়ে-শেস'-ওদের বন্দী হওয়ার কাহিনী ও তাঁর শেষ ইচ্ছার কথা ব্যক্ত করলে অতীশ দীপঙ্কর অভিভূত হয়ে তিব্বত যাত্রা করেন।[36] এর ফলে পশ্চিম তিব্বতে বৌদ্ধ ধর্মের প্রভাব বিস্তার ঘটে।[32][37]:৩৮৮, ৩৯৪[38] ১০৭৩ খ্রিষ্টাব্দে সা-স্ক্যা বৌদ্ধবিহার এবং ১১৫৫ খ্রিষ্টাব্দে ম্ত্শুর-ফু বৌদ্ধবিহার স্থাপিত হয়। [39]:৩৭ এই সময় রাজধানী থোলিং বৌদ্ধধর্মের এক গুরুত্বপূর্ণ পীঠস্থানে পরিণত হয়।[32] ১০৮৮ খ্রিষ্টাব্দে ল্হা-লামা-ব্যাং-ছুব-ওদের পুত্র র্ত্সে-ল্দেকে (Wylie: rTse lde) দ্বাং-ল্দে (Wylie: dBang lde) নামক তাঁর ভ্রাতুষ্পুত্র হত্যা করলে গুজ ও পু-হ্রাং নামে দুইটি পৃথক রাজ্যে তাঁদের রাজ্য ভেঙ্গে যায়। দ্বাং-ল্দে গুজ রাজ্য নিজের অধিকারে রাখেন।[37]:৫৩-৬৬ ১১৩৭ খ্রিষ্টাব্দে কারাখানী খানাতের আক্রমণে গুজ রাজ্যের রাজা ব্ক্রা-শিস-র্ত্সে (Wylie: bKra shis rtse) মৃত্যুবরণ করলে রাজ্য কয়েক বছরের জন্য বিভক্ত হয়ে পড়ে। ১২৪০ খ্রিষ্টাব্দে মঙ্গোল সম্রাটেরা এই অঞ্চলের প্রশাসনিক অধিকার দ্রিগুং বৌদ্ধবিহারকে দান করেন। কিন্তু ১২৬৫ খ্রিষ্টাব্দে গ্রাগ্স-পা-ল্দে (Wylie: grags pa lde) নামক এক শক্তিশালী রাজার অধীনে গুজ পুনরায় এক রাজ্যে পরিণত হয় এবং প্রতিবেশী য়া-র্ত্সে (Wylie: ya rtse) রাজ্যকেও নিজেদের অধীনে নিয়ে আসে। ১২৭৭ খ্রিষ্টাব্দে তাঁর মৃত্যু হলে এই অঞ্চলটি সা-স্ক্যা বৌদ্ধসম্প্রদায়ের কর্তৃত্বে চলে আসে। কিন্তু ১৩৬৩ খ্রিষ্টাব্দে সা-স্ক্যা বৌদ্ধসম্প্রদায়ের পৃষ্ঠপোষক হিসেবে পরিচিত মঙ্গোল ইউয়ান রাজবংশের পতন ঘটলে গুজের রাজারা আবার শক্তিশালী হয় এবং ১৩৭৮ খ্রিষ্টাব্দে পু-হ্রাং অধিকারে আনতে সমর্থ হয়। পরবর্তী সময়ে গুজ ও মুস্তাং রাজ্যের মধ্যে পু-হ্রাং অঞ্চলের মধ্যে বহু বছর বিবাদ চালু থাকলেও শেষ পর্যন্ত পু-হ্রাং গুজের অন্তর্ভুক্ত হয়। চতুর্দশ শতকের শেষ দিকে গুজের শাসকেরা লাদাখ অঞ্চল কিছু বছরের জন্য অধিকারে আনতে সমর্থ হয়। ১৪৯৯ খ্রিষ্টাব্দে গুজের শাসকেরা পশ্চিম মধ্য তিব্বতের নবনির্মিত রিন-স্পুংস-পা রাজ্যকে স্বীকৃতি দিতে বাধ্য হয়। পঞ্চদশ ও ষোড়শ শতাব্দীতে গুজের রাজারা তিব্বতে শক্তিশালী হয়ে ওঠা দ্গে-লুগ্স ধর্মসম্প্রদায়ের প্রতি আনুগত্য দেখাতে শুরু করেন। ১৬২৪ খ্রিষ্টাব্দে আন্তোনিও দে আন্দ্রাদে ও তাঁর ভ্রাতা ম্যানুয়েল মারকুইস নামক দুই পর্তুগীজ যাজক ১৬২৪ খ্রিষ্টাব্দে গুজ রাজ্যে পৌঁছন। আন্তোনিও রাজ্যের সেচ ও কৃষিব্যবস্থার উন্নতিতে সহায়তার প্রতিশ্রুতি দেন এবং একটি গীর্জা নির্মাণ করে স্থানীয় অধিবাসীদের মধ্যে খ্রিষ্টধর্ম প্রচার করেন।[40] আন্তোনিওর লেখা একটি চিঠি থেকে জানা যায় যে, এই সময়ে গুজের কিছু সামরিক অধিকর্তা গুজের রাজাকে সিংহাসনচ্যূত করতে লাদাখীদের আমন্ত্রণ জানান। ১৬৩০ খ্রিষ্টাব্দে লাদাখী সেনাবাহিনী গুজ রাজ্যের রাজধানী অবরোধ করেন। গুজের রাজা খ্রি-ব্ক্রা-শিস-গ্রাগ্স-পা-ল্দে (Wylie: khri bkra shis grags pa lde) তাঁর বৌদ্ধধর্মাবলম্বী ভ্রাতার উপদেশে সমর্পণ করে গুজ রাজ্যকে লাদাখ রাজ্যের অধীনে করদ রাজ্যে পরিণত করেন।[41] এই সিদ্ধান্তের পর গুজের শেষ রাজা খ্রি-ব্ক্রা-শিস-গ্রাগ্স-পা-ল্দেকে লাদাখে বন্দী করে নিয়ে যাওয়া হয় এবং সেখানেই তাঁর মৃত্যু হয়। এই অভিযানের গুজে নির্মিত সমস্ত গীর্জাকে ধ্বংস করে দেওয়া হয়[38] কথিত আছে, এই অভিযানে লাদাখী সেনাবাহিনী গুজের অধিকাংশ জনগণকেই হত্যা করে, মাত্র দুইশত জন প্রাণ বাঁচিয়ে পালিয়ে যেতে সক্ষম হন।[42] ১৬৭৯ খ্রিষ্টাব্দে পঞ্চম দলাই লামা গুজ তিব্বতের অধিকারে নিয়ে আসেন। এই যুদ্ধের পর রাজধানী প্রচন্ড ক্ষতিগ্রস্ত হয়।[43] সাংস্কৃতিক বিপ্লবের সময় বহু মূর্তি ও চিত্রকলাকে ধ্বংস করে দেওয়া হলেও[43] বেশ কিছু অসাধারণ শিল্পকলা কোন ভাবে এই ধ্বংসলীলা থেকে বেঁচে গেছে।[43]",পশ্চিম তিব্বতের রাজধানী কোথায় ছিল ?,থোলিং,"Skyid-lde-nyima-goner opor putro o Zhangskar rajyer protisthata Lde-gtsug-mgoner putrohin obosthay mrityu hole 967 Khristabde Byang-chub-ye-shes'-od Guj, Pu-hrang, Zhangskar, Spiti, Lahul ebong uttar Kinnar oncholke ekotro kore ek songothito rajyer odhishwor hon.[32][33] Tini rajottokaler shurute Bka'-shog-chen-mo (Wylie: bka’ shog chen mo) namok ekta adesh jari kore tar rajottoke dhormiyo vitti te chalona korben bole sthir koren. Sei karone tini ekadhare raja o lama ubhoy hisebe porichiti lav koren.[33][34] Tini Tibbot e ditiyobar Boudd",Poshchim Tibboter rajdhani kothay chilo?,Tholing,,
conversion-0061,"দ্য শশাঙ্ক রিডেম্পশন ১৯৯৪ সালের মার্কিন মহাকাব্যিক নাট্য চলচ্চিত্র। ফ্র্যাংক ড্যারাবন্ট পরিচালিত এই চলচ্চিত্রে অভিনয় করেছেন টিম রবিন্স, মরগান ফ্রিম্যান, বব গান্টন, উইলিয়াম সেডলার, ক্ল্যান্সি ব্রাউন, গিল বেলোস, জেমস হুইটমোর প্রমুখ।  মিলিয়ন ভোটের (১০-এর মধ্যে ৯.৩) উপর ভিত্তি করে আইএমডিবি’র ‘‘টপ ২৫০’’’ চলচ্চিত্রের মধ্য এটি #১ নম্বরে রয়েছে এবং সর্বকালের সেরা চলচ্চিত্র হিসেবে বিবেচিত।",দ্য শশাঙ্ক রিডেম্পশন চলচ্চিত্রটির নির্মাতা কে ?,ফ্র্যাংক ড্যারাবন্ট,"The Shawshank Redemption 1994 saler Markin mohakabyik natyo cholocchitro. Frank Darabont porichalito ei cholocchitre obhinoy korechen Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore promukh. Million voter (10-er moddhe 9.3) upor vitti kore IMDb-r ""Top 250"" cholocchitrer moddhe eti #1 nombore royeche ebong sorbokaler sera cholocchitro hisebe bibechito.",The Shawshank Redemption cholochitroti-r nirmata ke?,Frank Darabont,,
conversion-0062,"১৮৮৫ সালের প্রারম্ভে তিনি ক্লার্জিম্যান’স থ্রোট রোগে আক্রান্ত হন; ক্রমে এই রোগ গলার ক্যান্সারের আকার ধারণ করে। কলকাতার শ্যামপুকুর অঞ্চলে তাঁকে নিয়ে আসা হয়। বিশিষ্ট চিকিৎসক মহেন্দ্রলাল সরকার তাঁর চিকিৎসায় নিযুক্ত হন। অবস্থা সংকটজনক হলে ১১ ডিসেম্বর, ১৮৮৫ তারিখে তাঁকে স্থানান্তরিত করা হয় কাশীপুরের এক বিরাট বাগানবাড়িতে।[94]",রামকৃষ্ণ পরমহংসের কোন রোগের কারণে মৃত্যু হয় ?,ক্যান্সারের,"1885 saler prarombhe tini clergyman's throat roge akranto hon; krome ei rog golar cancer-er akar dharon kore. Kolkatar Shyampukur onchole take niye asha hoy. Bishishto chikitsok Mahendralal Sarkar tar chikitsay niyukto hon. Obostha shongkotjonok hole 11 December, 1885 tarikh-e take sthanantorito kora hoy Kashipurer ek birat baganbarite.[94]",Ramakrishna Paramahansher kon roger karone mrittu hoy?,cancerer,,
conversion-0063,১৯৭১ সালে বাংলাদেশের স্বাধীনতা লাভের পর নতুন সরকার জামায়াতকে রাজনীতি থেকে নিষিদ্ধ ঘোষণা করে এবং দলের নেতারা পাকিস্তানে নির্বাসনে চলে যান। পরবর্তীতে ১৯৭৫ সালে প্রথম রাষ্ট্রপতি শেখ মুজিব হত্যাকান্ডের পর এবং কয়েকটি সামরিক অভ্যুত্থানের পর ১৯৭৭ সালে মেজর জেনারেল জিয়াউর রহমান ক্ষমতায় এলে জামায়াতের উপর থেকে নিষেধাজ্ঞা প্রত্যাহার করে নেওয়া হয়। দলটির নেতাকর্মীরা ফিরে আসার অনুমতি পান এবং ১৯৭৯ সালের মে মাসে তৎকালীন জামায়াতে ইসলামীর অত্যন্ত প্রভাবশালী নেতা আব্বাস আলী খানের নেতৃত্বে বাংলাদেশ জামায়াতে ইসলামী প্রতিষ্ঠিত হয়।  এই সংগঠনের উদ্দেশ্য হলো শরিয়া ভিত্তিক একটি ইসলামী রাষ্ট্র প্রতিষ্ঠা করা যা পাকিস্তান ও সৌদি আরবের দেশসমূহে লক্ষ করা যায়। জামায়াতের বিরুদ্ধে হিন্দু ও বৌদ্ধ এবং আহমদিয়া মুসলিমদের উপর ধারাবাহিক আক্রমণের অভিযোগ করা হয়ে থাকে।,বাংলাদেশ জামায়াতে ইসলামী কবে প্রতিষ্ঠিত হয় ?,১৯৭৯ সালের মে মাসে,1971 shale Bangladesh-er shadhinota laver por notun shorkar Jamaat-ke rajniti theke nishiddho ghoshona kore ebong daler netara Pakistan-e nirbashone chole jan. Porobortite 1975 shale prothom rashtrapoti Sheikh Mujib hotyakander por ebong koyekti shamorik obhyutthaner por 1977 shale Major General Ziaur Rahman khomotay ele Jamaat-er upor theke nishedhajna protyahar kore neya hoy. Daltir netakormira fire ashar onumoti pan ebong 1979 shaler May mashe totkalin Jamaat-e Islami-r otyonto probhabshali neta Abbas Ali Khan-er netritte Bangladesh Jamaat-e Islami protishthito hoy. Ei songothoner uddeshyo holo sharia vittiok ekta Islami rashtra protish,Bangladesh Jamaat-e-Islami kobe protishthito hoy?,1979 saler May mase,,
conversion-0064,১৯৮৩ সালে ডেভিড চৌম তার গবেষণা পত্রে ডিজিটাল মুদ্রার ধারণা দিয়েছিলেন।[5] ১৯৯০ সালে তিনি ডিজিক্যাশ (DigiCash) একটি ইলেকট্রনিক নগদ সংস্থা (ক্যাশ কোম্পানি) প্রতিষ্ঠা করেন। আমস্টারডামে তার গবেষণার বাণিজ্যিক বিকাশ ঘটানোর জন্য তিনি এটি করেন।[6],ডিজিটাল মুদ্রার ধারণা প্রথম কে প্রদান করেন ?,ডেভিড চৌম,1983 sale David Chaum tar gobeshona potro te digital mudrar dharona diyechilen.[5] 1990 sale tini DigiCash ekta electronic nogod songstha (cash company) protistha koren. Amsterdam e tar gobeshonar banijjik bikash ghotanor jonno tini eta koren.[6],Digital mudrar dharona prothom ke prodan koren?,David Choum,,
