blind_id,context,question,answer,is_hallucinated
codemix-0046,"Hinduder deb-debigon Vaidik jug(khrishtopurbo ditiyo shotok) o moddhojuge(khrishtiyo prothom shotok) Nepal Bharat o Dokkhin-Purbo Eshiyay bohu bibortoner moddho diye bortoman obosthay pouchheche. [3][4] Hindu debota bolte jogshastrer ishtodebota[5][6], tetrish Vaidik debota[7] ba shotadhik pouranik debotader kotha bojhano jay[8]. Eder moddhe mukhyo debotara holen Vishnu, Shiv, Shri ba Lokkhi, Parboti ba Durga, Brombha ebong Saraswati. Protyek debotar alada alada jotil jotil choritroboli bidyoman holeo taderke onekshomoyei Brambhon name ek nirakar porom sottar ang",Hindu dhormogronthe mot kotogulo deb debir ullekh royeche?,Hindu dhormogronthe muloto 108 jon deb-debir ullekh royeche.,
codemix-0047,"Sylhet shohore 27ti ward o 210ti moholla royeche. Er ayoton 26.5 borgo kilometer. 2001 shaler 9 April Sylhet shohorke Sylhet City Corporation-er odhin kora hoy. Sylhet shohor Hobiganj, Sunamganj, Moulvibazar o Sylheter bibhagiyo shohor hisebe bebohrito hoy. Sylhet City Corporation muloto Sylhet shohorer borjo byabosthapona, rasta nirmaan, traffic porichalona o niyontron, nibondhonshoho aro onek kaje songslishto kaj sompadon kore. Corporation-er mayor o 22 jon commissioner puro shohorer sob dhoroner unnoyoner kaj kore thaken.[3]",Sylhet shohorer mot ayoton koto?,Sylhet shohorer mot ayoton prai 210ti moholla.,
codemix-0048,"The Shawshank Redemption 1994 saler Markin mohakabyik natyo cholocchitro. Frank Darabont porichalito ei cholocchitre obhinoy korechen Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore promukh. Million voter (10-er moddhe 9.3) upor vitti kore IMDb-r ""Top 250"" cholocchitrer moddhe eti #1 nombore royeche ebong sorbokaler sera cholocchitro hisebe bibechito.",The Shawshank Redemption cholochitroti-r nirmata ke?,The Shawshank Redemption-er nirmata chilen Morgan Freeman.,
codemix-0049,"1872-75 sale Alexander Cunningham prothom Harappa silmohor prokash koren. Tini vulboshot eti Brahmi lipi mone korechilen.[14] Er pray ardhashatabdi pore 1912 sale J. Fleet aro kotokguli Harappa silmohor abishkar koren. Ei silmohor dekhe uddibdho hoye 1921-22 sale Sir John Marshall ei onchole protnotattwik khononkaj ovijan chalan. Ei ovijaner folshrutitei Sir John Marshall, Raybahadur Dayaram Sahani o Madhoswarup Bhat Harappa ebong Rakhaldas Bandyopadhyay, E. J. H. Mackay o Sir John Marshall Mohenjodaro abishkar koren. 1931 saler modhyei Mohenjodaro-r odhikangsho protnosthol ab",Mohenjodaro shobhyota ke abishkar koren?,Mohenjodaro shobhyota abishkar koren Sir John Marshall.,
codemix-0050,Jibanananda Dash 1899 khristabder 17 February[1] British Bharoter Bengal Presidency-r (bortomane Bangladesh) ontorgoto Barishal shohore jonmogrohon koren. Tar purbopurushera chilen Bangladesher Dhaka jeler Bikrampur porgona nibashi. Tar pitamoh Sarbananda Dashgupta (1838-85) Bikrampur theke Barishale nibash sthanantorito koren.[7] Sarbananda Dashgupta jonmosutre Hindu chilen; pore Brahmodhorme diksha nen. Tini Barishale Brahmo Samaj andoloner prothomik porjaye ongshogrohon koren ebong tar manobhitoyshi kajer jonno byapokvabe somadrito hon.[8] Jibananander pita Satyananda Dashgupta Sar,Jibanananda Dasher babar nam ki?,Satyananda Dashgupta,
codemix-0051,Aorongojeb tar purbosurider tulonay onek onarombor chilen. Tini Islamic calligraphy pochondo korten. Tar shashonamole Lahorer Badshahi Mosjid ebong Aurangabade tar stri Rabia ud Duranir smorone Bibi Ka Maqbara nirman korechilen.,Aurangzeb er strir nam ki chilo?,Tar strir nam chilo Badshahi Mosjid-er Rabia Begum.,
codemix-0052,"Shorbosesh Bishwocup onushthito hoyeche Rashiyay, 2018 shaler 14 June theke 15 July porjonto. Ei Bishwocape France Croatia-ke finale 4-2 gole porajito kore shiropa jite ney.",Shorbosesh jatio football FIFA Bishwokap koto shale onushthito hoyechilo?,Shorbosesh FIFA Bishwokap France jite 2014 shale.,
codemix-0053,"Rabindranath Thakur Subhashchandrake 'Deshnayak'[7] akhya diye Taser Desh nrityonattyoti take utsorgo koren. Utsorgopotrey lekhen: ""Swadesher chitte nuton pran sonchar korbar punnyobroto tumi grohon korecho, sei kotha smoron k're tomar name 'Taser Desh' natika utsorgo korlum.""[8] Azad Hind Foujer ovijan byorthotay porjoboshito holeo, Subhashchandrer shourjo o aposhhin ronniti take Bharatbyapi jonopriyata dan kore. Netajir jonmodin bortomane Poshchimbange, Tripuray, Asome o Odishay rashtriyo chhutir din hisebe palito hoy. Swadhinotar por Kolkatar ekadhik rasta tar name namank",Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam ki chilo?,Netaji Subhash Chandra Bosu antorjatik bimanbondorer purnonam chhilo **Kolkata antorjatik bimanbondor**.,
codemix-0054,"October, 2016 saler hisab onujayi Jatisongho ba Rashtrasonggher sodosso rashtrer shonkha 193 sodosso.[1] Er sodor doptor Juktorashtrer New York shohore obosthito. Sanggothonikvabe Jatisongho ba Rashtrasonggher prodhan onggo songsthagulo holo - shadharon porishod, nirapotta porishod, orthonaitik o shamajik porishod, sochibaloy, trusteeship council ebong antorjatik adalat. Echarao royeche Bishwo Shastho Songstha, UNICEF ityadi. Jatisongho ba Rashtrasonggher prodhan nirbahi holen er mohasochib. 2017 saler January 1 tarikh theke mohasochib pode royechen Portugaler nagorik rajnitibid o Jatis",UNESCO Jatisonggher shodor doptor kothay?,UNESCO-er Jatisonggher shodor doptor Geneva-te obosthito.,
codemix-0055,"Aeroplane Jelly Bert Appleth-er toiri Australia-r ekta jelly brand. Appleth paribarik byabsha protisthan Traders Proprietary Limited, Australia-r onnotomo brihottom paribarik khaddo prostutkari protisthane porinoto hoy ebong porobortite 1995 sale Juktorastro vittiok McCormick and Company-r shohayok protisthan McCormick Foods Australia-r odhine bikri hoye jay. Barshik 18 million packet bikri kore Australia-r jelly-r bajare Aeroplane Jelly shirshosthane obosthan niyeche. Shobcheye bikrito aswadan (flavour) holo Strawberry.[2]",Aeroplane Jelly er bortomane (2019) kon companyr ponno?,Aeroplane Jelly er founder chhilen Bert Appleth.,
codemix-0056,"Myanmar-er mot ayoton 676,552 borgokilometer. Uttar-dokkhin e er doirgho pray 2,085 kilometer. Purbo-poshchime er sorbocho bistar pray 930 kilometer. Upokuliyo elakati nimno Myanmar ebong obhontorin angshoti urdho Myanmar name porichito. Oshwokhurakriti porbotbyabostha o Iraboti nodir upotyaka deshtir bhu-songsthaner prodhan boishishto. Uttorer porbotgulir sorbocho shringo Hkakabo Razi-r uchchota 5,881 meter. Eti dokkhin-purbo Asia-r sorbocho shringo. Aro duiti porbotbyabostha uttar theke dokkhine bistrito. Arakan Yoma porbotmalati Myanmar o Bharotiyo upomohodesher moddhe ekti",Myanmar-er bortoman (2019) ayoton koto?,"678,225 borgokilometer pray dhora hoy.",
codemix-0057,"Monsters University, Mike ebong Sulley name dujon monster-er golpo. Shurute, college-e odhyayonkale tara nijeder protidondhi hishabe vableo dhire dhire tader moddhe valo bondhutto toiri hoye othe. Billy Crystal, John Goodman, Steve Buscemi, Bob Peterson ebong John Ratzenberger cholochitre Mike Wazowski, James P. Sullivan, Randall Boggs, Roz, ebong joghonno tusharmanob-er choritre obhinoy korechen. Bonnie Hunt, jini prothom cholochitre Miss. Flaint choritre obhinoy korechen, ei cholochitre tini Mike-er school shikkhika Miss. Karen Graves choritre kontho diyechen. Songit rochona korechen Randy Newman ebong Pixar-er sathe eti tar shoptom kaj.",Monsters University cholochitroter mul choritrer nam ki?,Mike ebong Sule,
codemix-0058,Shyazel chobitir chitronatyo lekhen 2010 sale kintu tar golpovabna poriborton na kore chobitike orthayon korbe kon studio khuje pan ni. 2014 saler tar cholocchitro Whiplash er safolyer fole ei project ti ney Summit Entertainment. Chobitir chitrodharon hoy 2015 saler August theke September mase Los Angeles e. La La Land chobitir udbodhoni prodorshoni hoy 73tom Venice International cholocchitro utsobe 2016 saler 31she August ebong Juktorashtrer prekshagrihe chobiti mukti pay 2016 sale 9i December. Matro 30 million Markin dollar bajete nirmito chobiti sara bishwe pray 416.8 million Markin dollar ay kore.,Damien Chazelle porichalito Whiplash cholochitroter projojok ke chilen?,Jason Blum chhilen projojok.,
codemix-0059,"1909 sale Ramanujan bibaho koren. Kintu tar kono sthayi kormosongsthan chilo na. Proyojoner tagidei tini shobhaber biporite jibika onbeshoner cheshta chalate thaken. E shomoy tar ghonishto ekjon ekta porichoypotro diye chakurir suparish kore take Madras shohor theke 80 kilometer dure Nilore shohorer Collector Dewan Bahadur Ramchandra Rao-er kache preron koren. Ramchandra Rao goniter byapare utsahi chilen. Ramanujaner duti notebook-e tar shokol ganitik sutrer protipadon o e-shomporkito bibhinno bishoy lipiboddho chilo. Ramanujan shomporke Ramchandra Rao nijer vashay borona korechen. Niche kichuta tule dhora holo,",Srinivas Ramanujan koto sale biye korechilen?,1909,
codemix-0060,"1885 saler prarombhe tini clergyman's throat roge akranto hon; krome ei rog golar cancer-er akar dharon kore. Kolkatar Shyampukur onchole take niye asha hoy. Bishishto chikitsok Mahendralal Sarkar tar chikitsay niyukto hon. Obostha shongkotjonok hole 11 December, 1885 tarikh-e take sthanantorito kora hoy Kashipurer ek birat baganbarite.[94]",Ramakrishna Paramahansher kon roger karone mrittu hoy?,Tini clergyman's throat roge mara jan.,
codemix-0061,"Hinduder deb-debigon Vaidik jug(khrishtopurbo ditiyo shotok) o moddhojuge(khrishtiyo prothom shotok) Nepal Bharat o Dokkhin-Purbo Eshiyay bohu bibortoner moddho diye bortoman obosthay pouchheche. [3][4] Hindu debota bolte jogshastrer ishtodebota[5][6], tetrish Vaidik debota[7] ba shotadhik pouranik debotader kotha bojhano jay[8]. Eder moddhe mukhyo debotara holen Vishnu, Shiv, Shri ba Lokkhi, Parboti ba Durga, Brombha ebong Saraswati. Protyek debotar alada alada jotil jotil choritroboli bidyoman holeo taderke onekshomoyei Brambhon name ek nirakar porom sottar ang",Hindu dhormogronthe mot kotogulo deb debir ullekh royeche?,Hindu dhormogronthe mot 108 jon deb-debir ullekh royeche.,
codemix-0062,"Je shob taler podobibhag guli soman matrar dara gothito, take somopodi tal bole. Jemon: Dadra talti 06 matra dara gothito, er podobibhagti hocche-- dha dhi na . na ti na.. Orthaat tin tin kore saman matra niye er podobibhajon kora hoyeche. Kaharba, Trital, Choutal ityadio somopodi tal. Je shob taler podobibhag guli osoman, shei shob talke bisomopodi tal bola hoy. Jemon Teora talti 07 matrar ebong er podobibhajonti hocche-- dha dhi na . dhi na . dhi na.. Orthaat tin dui dui kore osoman vabe podo bibhajon kora hoise. Jhaptal, Dhamar ityadio bisomopodi tal. Soman shong",Dadra tal koto matra bishisto?,Dadra tal 7 matra bishisto bole dhora hoy.,
codemix-0063,Board ob Governors kortik banker President nirbachito kora hoy. Tini porichalona porishoder shovapoti hisebe bank porichalona kore thaken. President 5 bochor shomoykaler jonno niyukto hon. Proyojone tini punoray nirbachito hote paren. Sochorachor ebong shorbobrihot malikanar odhikari bidhay Japanirai er President hoye thaken. Bortoman President hocchen Takihiko Nakao. Tini 2013 sale Haruhiko'r stholavishikto hon. ADB'r sodor doftor Philippines e obosthito.[5][6] Er thikana hocche -,Eshiyo Unnoyon Bank-er bortoman shovapoti ke?,"Eshiyo Unnoyon Bank-er bortoman shovapoti holen Haruhiko Kuroda, karon tini ageo ei pod-e chhilen.",
codemix-0064,"Banglay Musolman adhipottyo protishthito hobar age Brahmanyo Hindusamajer pironer ashonkay Banglar Bouddhogon tader dhormiyo punthipotro niye shishyoderke songi kore Nepal, Bhutan o Tibet-e palayon korechhilen—ei dharonar boshoborti hoye Haraprasad Shastri charbar Nepal porivromon koren. 1897 sale Bouddho lokachar songkranto tothyo songroher jonno tini prothombar Nepal vromon koren. 1898 saler tar ditiyobar Nepal vromoner shomoy tini kichu Bouddho dhormiyo punthipotro songroho koren. 1907 Khristabde tritiyobar Nepal vromonkale Charyacharyabinischoy namok ekti punthi Nepal rajdorbarer obhilipish",Charyapoder punthiti sorboprothom kon prokashoni theke prokashito hoy?,Charyapoder punthiti sorboprothom Nepal Rajdorbar theke prokashito hoy.,
codemix-0065,"Procholito bishwas onujayi, Mahabharat-er rochoyita Byasdeb. Onek gobeshok ei mohakabyer oitihashik bikash o rochonakalin storguli niye gobeshona korechen. Odhuna prapto pathotir prachintom angshoti motamuti 400 Khrishtopurbabdo nagad rochito hoy.[27] Mahabharoter mulpath-ti tar bortoman rupti porigroho kore Guptojuger prothomangshe (Khrishtiyo choturtho shotabdi).[28] Mahabharat kothatir ortho holo Bharat bongser mohan upakhyan. Gronthei ullikhito hoyeche je Bharat name 24,000 shlokobishishto ekti khudrotor akhyan theke Mahabharat mohakabyer kahiniti bistar lav kore.[29]",Mahabharat kothatir ortho ki?,Bharot bongser mohan upakhyan,
codemix-0066,"October, 2016 saler hisab onujayi Jatisongho ba Rashtrasonggher sodosso rashtrer shonkha 193 sodosso.[1] Er sodor doptor Juktorashtrer New York shohore obosthito. Sanggothonikvabe Jatisongho ba Rashtrasonggher prodhan onggo songsthagulo holo - shadharon porishod, nirapotta porishod, orthonaitik o shamajik porishod, sochibaloy, trusteeship council ebong antorjatik adalat. Echarao royeche Bishwo Shastho Songstha, UNICEF ityadi. Jatisongho ba Rashtrasonggher prodhan nirbahi holen er mohasochib. 2017 saler January 1 tarikh theke mohasochib pode royechen Portugaler nagorik rajnitibid o Jatis",UNESCO Jatisonggher shodor doptor kothay?,"Paris, France e obosthito.",
codemix-0067,"Pandit Ravishankar (jonmo: 7i April, 1920, Benaras, Uttar Pradesh, Bharat - mrityu: 11i December, 2012, San Diego, California, Markin Juktorastro) ekjon Bharotiyo Bangali shongeetggo jini setarbadone kingbodontitullo shreshthotter jonno bishwobyapi suparichito. Bharotiyo shastriyo shongeeter Maihar gharanar sroshta Acharya Alauddin Khan Saheber shishyo Ravi Shankar Bharotiyo shastriyo shongeeter oitijjo ebong Bharotiyo shongeetke 1960-er doshoke Pashchatyo bishwer kache prothom tule dhoren. Tar shangitik kormojiboner poribyapti chhoy doshok jure. 2012 Khrishtabde mrityukale Ravi Shankar",Pandit Ravishankar kobe jonmogrohon koren?,"7i April, 1920",
codemix-0068,Pir Gorachander asal nam holo Pir Hojrot Shah Saiyad Abbas Ali Raji. Tar pitar nam Hojrot Karim Ullah ebong matar nam Maymuna Siddika. Anumanik 1265 Khristabde Arber Mokka nogore Zamzam mohollay bikhyato Korayesh bongse tini jonmogrohon koren. Pir Hojrot Shahjalal Amonir kache torika Sufimate dikshagrohon er por gurur nirdeshe Bharatborshe dhormo prochare asen. [1][2][4],Pir Gorachander asal nam ki?,Pir Gorachander asal nam chhilo Hojrot Karim Ullah.,
codemix-0069,"Saiyed Qutb (/ˈkuːtəb/[1]/ˈkʌtəb/; Egyptian Arabic pronunciation:[ˈsæjjed ˈʔotˤb], Arabic:[ˈsæjjɪd ˈqʊtˤb]; Arabic: Sayyid Qutb (1906 - 25 August 1966) holen ekjon Mishoriyo Islami chintabid ebong biplobi rajnaitik songothok. Tini Mishorer Islami andoloner prodhan songothon Ikhwanul Muslimin daler mukhopotro Ikhwanul Muslimin-er shompadok chilen. Take totkalin sarkar fasi-r adesh dey ebong evabhei take mrityuboron korte hoy.",Saiyed Qutb Mishorer kon rajnaitik doler sathe jukto chilen?,Ikhwanul Muslimin,
codemix-0070,"Myanmar-er mot ayoton 676,552 borgokilometer. Uttar-dokkhin e er doirgho pray 2,085 kilometer. Purbo-poshchime er sorbocho bistar pray 930 kilometer. Upokuliyo elakati nimno Myanmar ebong obhontorin angshoti urdho Myanmar name porichito. Oshwokhurakriti porbotbyabostha o Iraboti nodir upotyaka deshtir bhu-songsthaner prodhan boishishto. Uttorer porbotgulir sorbocho shringo Hkakabo Razi-r uchchota 5,881 meter. Eti dokkhin-purbo Asia-r sorbocho shringo. Aro duiti porbotbyabostha uttar theke dokkhine bistrito. Arakan Yoma porbotmalati Myanmar o Bharotiyo upomohodesher moddhe ekti",Myanmar-er bortoman (2019) ayoton koto?,"Myanmar-er bortoman (2019) ayoton pray 2,085 kilometer.",
codemix-0071,1971 shale Bangladesh-er shadhinota laver por notun shorkar Jamaat-ke rajniti theke nishiddho ghoshona kore ebong daler netara Pakistan-e nirbashone chole jan. Porobortite 1975 shale prothom rashtrapoti Sheikh Mujib hotyakander por ebong koyekti shamorik obhyutthaner por 1977 shale Major General Ziaur Rahman khomotay ele Jamaat-er upor theke nishedhajna protyahar kore neya hoy. Daltir netakormira fire ashar onumoti pan ebong 1979 shaler May mashe totkalin Jamaat-e Islami-r otyonto probhabshali neta Abbas Ali Khan-er netritte Bangladesh Jamaat-e Islami protishthito hoy. Ei songothoner uddeshyo holo sharia vittiok ekta Islami rashtra protish,Bangladesh Jamaat-e-Islami kobe protishthito hoy?,Bangladesh Jamaat-e-Islami mone hoy 1977 shaler dike protishthito hoy.,
codemix-0072,"Bharoter Songbidhan Bharotiyo Projatontorer sorbocho ain. Ei songbidhane sarkarer gothon, karyopoddhoti, khomota o kortobbo nirdharon; moulik odhikar, rashtraparichalonar nirdeshmulok niti, ebong nagorikder kortobbo nirdharoner maddhome desher moulik rajnaitik adorsher ruporekha nirdishto kora hoise. 1949 saler 26 November Gonoporishode grihito howar por 1950 saler 26 January theke ei songbidhan karyokori hoy.[1] Ullekhyo, 1930 saler 26 January Jatiyo Congress-er oitihashik shadhinota ghoshonar smritite 26 January tarikh-ti songbidhan probortoner jonno grihito hoyech",Bharoter songbidhan e mot koyti dharar ullekh royeche?,Bharoter songbidhan e mot 395 ti dharar ullekh royeche.,
codemix-0073,"Chowdhury Rahmat Ali totkalin Bharoter Panjaber Hoshiarpur jeler ontorgoto Balachaur shohore ekta Muslim Gurjar poribare jonmogrohon koren (bortoman Nawanshahr jela).[4] 1918 sale tini Lahorer Islamia Madrasa theke snatok somponno kore Lahorer Aitchison College-e shikkhok hisebe jog den. Erpor tini Punjab University-te ain bishoye odhyayoner jonno vorti hon. 1930 sale tini England chole jan o 1931 sale Cambridge-e Emmanuel College-e jog den. 1933 sale tini ""Now or Never"" pustikati prokash koren. Ete sorboprothom ""Pakistan"" shobdoti ullekh kora hoy. 1933 sale tini England-e Pakistan jatiyo andolon protistha koren. 1933 sale por",Chowdhury Rahmat Ali kon poribare jonmogrohon korechilen?,Muslim Gurjar,
codemix-0074,1971 shale Bangladesh-er shadhinota laver por notun shorkar Jamaat-ke rajniti theke nishiddho ghoshona kore ebong daler netara Pakistan-e nirbashone chole jan. Porobortite 1975 shale prothom rashtrapoti Sheikh Mujib hotyakander por ebong koyekti shamorik obhyutthaner por 1977 shale Major General Ziaur Rahman khomotay ele Jamaat-er upor theke nishedhajna protyahar kore neya hoy. Daltir netakormira fire ashar onumoti pan ebong 1979 shaler May mashe totkalin Jamaat-e Islami-r otyonto probhabshali neta Abbas Ali Khan-er netritte Bangladesh Jamaat-e Islami protishthito hoy. Ei songothoner uddeshyo holo sharia vittiok ekta Islami rashtra protish,Bangladesh Jamaat-e-Islami kobe protishthito hoy?,Bangladesh Jamaat-e-Islami mone hoy 1977 shale protishthito hoy.,
codemix-0075,"Myanmar-er mot ayoton 676,552 borgokilometer. Uttar-dokkhin e er doirgho pray 2,085 kilometer. Purbo-poshchime er sorbocho bistar pray 930 kilometer. Upokuliyo elakati nimno Myanmar ebong obhontorin angshoti urdho Myanmar name porichito. Oshwokhurakriti porbotbyabostha o Iraboti nodir upotyaka deshtir bhu-songsthaner prodhan boishishto. Uttorer porbotgulir sorbocho shringo Hkakabo Razi-r uchchota 5,881 meter. Eti dokkhin-purbo Asia-r sorbocho shringo. Aro duiti porbotbyabostha uttar theke dokkhine bistrito. Arakan Yoma porbotmalati Myanmar o Bharotiyo upomohodesher moddhe ekti",Myanmar-er bortoman (2019) ayoton koto?,"Myanmar-er bortoman (2019) ayoton pray 680,000 borgokilometer.",
codemix-0076,Loukik Hindudharmo – bibhinno sthaniyo oitijjho o loukik debdebir puja ke kendro kore ancholik ba somprodai storer dhormobishwas ja pragoitihashik kal ba ontotpokke Bed rochito hobar age theke procholito. Boidik Hindudharmo – ei bishwashti ek shrenir Brahmon (bisheshto shrutibadi) somaje ajo procholito. Boidantik Hindudharmo – Upanishoder shikkha obolombone procharito. Udahoron – Odboit (Smartobad) Jougik Hindudharmo – Patanjali rochito Jogsutro obolombone procharito. Dharmik Hindudharmo ba prattyohik noitikota – kormo o Hindu bibaho songskar ittyadi shamajik niyom ke kendro,Hindudharmer prachintom shakha konti?,Loukik Hindudharm,
codemix-0077,"Hindu shobdoti esheche (Persian hoye) Sanskrit shobdo Sindhu (oitihashik sthaniyo Sindhu nodi ba Indus River) theke. Er obosthan chilo Bharotiyo upomohodesher uttarposhchim angshe (bortomane Pakistan ebong uttar Bharoter angshe).[5][lower-alpha 1] Gebin Flood er mote, ""asal poribhasha Hindu prothom deya hoy Persian bhougolik poribhasha theke ja diye Sindhu nodir pashe boshobashkori lokeder bojhano hoto[5]. Shobdoti diye tokhon bhougolik obosthan bojhano hoto ebong er dara kono dhormoke bojhano hoto na.[lower-alpha 2]",Hindu shobder utpotti kon shobdo theke?,Hindu shobder utpotti holo Persian shobdo Hindu Kush theke.,
codemix-0078,Mirza Fakhrul Islam Alamgir bektigoto jibone Rahat Ara Begum-er sathe bibaho bondhone aboddho hon. Ei dompotir dui meye royeche. Rahat Ara Begum Kolkata Bishwabidyaloye porashuna korechen o bortomane Dhakar ekta bima protisthane kormorot. Tar boro meye Mirza Shamaruh Dhaka Bishwabidyaloye porashuna kore ei protisthanei shikkhokota korechen. Bortomane tini Australia-y post doctoral fellow hisebe kormorot achen. Choto meye Mirza Safaruh-o Dhaka Bishwabidyaloye porashuna korechen. Tini bortomane Dhakar ekta school-e shikkhokota korchen.[10],Mirza Fakhrul Islam Alamgir er strir nam ki?,Rahat Ara Begome,
codemix-0079,"ekti mukh akritir tothyo capture korar jonno tri-matrik mukh shonaktokoron kousholti three-D sensor byabohar kore. Ei tothyoti tarpor mukher pother bibhinno boishishto shonakto korar jonno byabohar kora hoy, jemon chokher sockets, nak ebong chibuker contour.[8]",Mukhmondol shonaktokoron poddhotite kon sensor babohar kora hoy?,Mukhmondol shonaktokoron poddhotite shadharonoto infrared depth scanner babohar kora hoy.,
codemix-0080,"Madrasa shikkhay prothom protisthan chilo Safa porboter padeshe Zayed-bin-Arkamer barite - jekhane swoyong Rasul (s:) chilen shikkhok ebong shikkharthi chilen tar koyekjon onushari nowmuslim. Hijrater por Madinay Masjide Nababi-r purbopashe sthapit hoy Madrasa Ahle Suffa. Shikkhok chilen Ubada-ibn Samit ar shikkharthider moddhe chilen Abu Huraira (ra) Muayaz-ibn Jabal Gifari (ra) promukh. Sekaler madrasar pathyosuchite chilo, Quran, Hadis, Farayez, prothomik chikitsa, bongsho shastro, Tajbid ityadi. Echarao oshwo chalona, juddhobidya, hostolipi bidya, sh",Bishwer prothom madrasa shikkha protisthan kothay obosthito?,Bishwer prothom madrasa shikkha protisthan chhilo Madinay Masjide Nababi-r purbopashe Ahle Suffa-te.,
codemix-0081,"Biday Hajj theke ferar por Hijri 11 saler Safar mase Muhammad jwore akranto hon. Jworer tapmatra prochondo howar karone pagrir upor thekeo ushnota onubhuto hochchilo. Osustho obosthateo tini egaro din namazer imamoti koren. Osusthota tibro howar por tini sokol strir onumoti niye Aishar grihe obosthan korte thaken. Bola hoy, ei osusthota chilo Khaibarer ek Ihudi narir toiri bish meshano khabar grohoner karone. Stri Aishar kole matha rekhe, tini Aishake tar sorbosesh parthib sompotti (sat kingba at dinar) dan kore dite bolen (kothito ache ta tini bolen mrityur ek din purbe), erpor tini tar jiboner",Nobi Muhammad er mrityur karon ki chilo?,Khaibarer bish meshano khabarer prokrito bishkriyay.,
codemix-0082,Board ob Governors kortik banker President nirbachito kora hoy. Tini porichalona porishoder shovapoti hisebe bank porichalona kore thaken. President 5 bochor shomoykaler jonno niyukto hon. Proyojone tini punoray nirbachito hote paren. Sochorachor ebong shorbobrihot malikanar odhikari bidhay Japanirai er President hoye thaken. Bortoman President hocchen Takihiko Nakao. Tini 2013 sale Haruhiko'r stholavishikto hon. ADB'r sodor doftor Philippines e obosthito.[5][6] Er thikana hocche -,Eshiyo Unnoyon Bank-er bortoman shovapoti ke?,Haruhiko Kuroda ekhonkar shovapoti.,
codemix-0083,Dwarakanath bortoman Bangladesher Dhakar Bikrampurer Magurkhonder nibashi chilen. Tar babar nam Krishnopan Gangopadhyay. Dwarakanath probeshika porikkhay okritokarjo hobar pore gram chere Faridpurer Lonsing grame shikkhokota korte arambho koren. Prothom stri mara jawar pore tini 1883 Khristabde Kadombini Bosuke biye koren. [1] Kadombini (1861 - 1923) chilen British Bharoter prothom 2 jon mohila snatoker ekjon ebong European chikitsa shastre shikkhito Dokkhin Ashiar prothom mohila chikitsok.,Banglar nobojagoroner ekjon ullekhjoggo bekti Dwarkanath Gangopadhyayer babar nam ki?,Dwarkanath Gangopadhyayer babar nam shombhoboto Krishnochandra Gangopadhyay chhilo.,
codemix-0084,"Shadhinotar pore abirbhuto cholocchitro porichalokder moddhe Alamgir Kabir (1938-1989) ullekhjoggo. Tar nirmito cholocchitro holo Dhire Bohe Meghna (1973), Surjo Konna (1976), Simana Periye (1977), Rupali Soikote (1979), Mohona (1982), Porinita (1984) o Mohanayok (1985).",Bangladeshi cholocchitro porichalok Alamgir Kabir-er porichalito prothom cholocchitrer nam ki?,Alamgir Kabir-er prothom chhobi chhilo **Surjo Konna**.,
codemix-0085,"Shorirtotter upor vitti kore jatijnik porashuna goblin hangorke Lamniformes borger moulik sadossoder moddhe obosthito koreche, ja mackerel hangor name porichito.[7][8] Genetic upatto byabohar kore je gobeshona kora hoyeche, tao ei projatir ekta obosthan nishchit kore.[9][10] Mitsukurinidae poribar, ja Mitsukurina, Scapanorhynchus, ebong Anomotodon dara prokash kora hoy, jake Cretaceous (c. 125–113 Ma) kaler Aptian boyosh porjonto paoa jay. Bilupto projati M. lineata ebong M. maslinensis er sathe Mitsukurina nije jibashmo rupe lipiboddho hoy modhyo Eocene (c. 49",Goblin hangor kon borger prani?,lemoniforms,
codemix-0086,"Shombhu Mitra (22 August, 1915 – 19 May, 1997) chilen Bangla tatha Bharatiyo natyojogoter ek kingbodonti byaktitto, swonamdhonno abrittishilpi o cholocchitro obhineta. 1939 sale banijjik natyomonche jog den. Pore Bharatiyo Gananatya Sangher sodossho hon. 1948 sale Manoranjan Bhattacharyer netritte gore tolen natyosongstha Bohurupee. 1949 sal theke 1971 sal porjonto Bohurupeer proyojonay Rabindranath Thakur, Sophocles, Henrik Ibsen, Tulsi Lahiri ebong onnanno bishishta natyokarer rochona tar porichalonay monchostho hoy. Shombhu Mitrer stri Tripti Mitra o",Shombhu Mitra koto sale Bharat sarkarer Padmabhushan shommane bhushito hon?,1976,
codemix-0087,1833 sale England-e Rammohon Ray mara jawar por dhormiyo songskar andolon-ta badhar shommukhin hoy. Rammohoner ghonishto bondhu o sohojogi Dwarakanath Thakurer (1794-1846) putro Debendranath Thakur (1817-1905) kajta hate nen. Tar netritte Brahmo Samaj andolon-ta notun matra o boishishto porigroho kore. Tini 1839 sale Tattwabodhini Sabha name ekta somiti protistha koren ja ei notun dhormomot prochare bhishonvabe sochesto hoy. Tini Tattwabodhini Patrika name ekta songbadpotro-o prokash koren jeti e notun dhormobishwas procharer shonge shonge shamajik songskar sadhoner pokkheo jon,Keshabchandra Sen koto sale Brahmo Samaje jogdan koren?,1858 sale Brahmo Samaje jogdan koren.,
